title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Exceptional,10,"We were very happy with the staff service , specially staff from club lounge always have time  to talk and make you feel welcome, Location  was ok about  20 minutes walking  to marina Bay,  also  right next to the  mall, very satisfying  with  everything 😀",,Adela,Couple,Pacific Club Room,3,"28, 2022",Australia,au,[List]
it was a very good holiday with fantastic accommodations,8,Excellent location. Well maintained,,Anil,Family,Deluxe Double or Twin Room with Balcony,6,"28, 2022",Australia,au,[List]
excellent experience,10,"We chose Pan Pancific hotel to celebrate the Bday, very nice room environment, excellent sleeping condition. Can have meal just inside the hotel cause have several amazing restaurants, superb spa also included.",,Dora,Couple,Harbor Studio,1,"26, 2022",Singapore,sg,[List]
"Very friendly staff, and spacious and clean room",9,"Staff were extremely friendly, polite and helpful. They gave us a call in the morning to let us know our room was ready, and provided lovely birthday treats in the room. Room was spacious and clean, indoor playground was also really huge, our toddler had lots of fun there.
With the deal on B.com it was really great value for money too!!","We requested firmer pillows, which they said was available on the pillow menu, we got them 35 mins later but they felt pretty much exactly the same as the ones already in the room - probably gave the wrong one but we were too tired to call to ask. 
Room decor is a bit dated, tv could do with an upgrade with more modern apps (just some network channels, no netflix)",Jana,Family,City Suite,1,"25, 2022",Singapore,sg,[List]
Pleasant,9,"Nice view
Clean room
Good amenities 
Good food
Excellent staff",The TV could include Apple TV to allow airplay,Firdaus,Couple,Deluxe Double or Twin Room with Balcony,2,"25, 2022",Singapore,sg,[List]
Very Good,8,"Good location, nice view from my room's balcony
Good room size for 3 adult pax
Good bathroom with nice and quality toiletries
Good size pool with lovely cabanas to chill.
Left a tshirt in the room and the housekeeper handed it over to their concierge. It was very easy to liaise with them to get the tshirt back.","Long queue during check in. Eventually opened other counters and directed guests accordingly. Could have been done earlier. My room was not ready until quite late. I asked for a late check out and they dutifully fulfilled my request.
Stop providing complimentary single used plastic bottles. There are other environmentally friendly way to provide drinking water in the rooms.
Complimentary parking should not be limited to one per day.",Siti,Family,Deluxe Double or Twin Room with Balcony,1,"24, 2022",Singapore,sg,[List]
-,10,Hotel room service,Hotel room service,Zhi,Solo traveler,Deluxe Double or Twin Room with Balcony,1,"23, 2022",Singapore,sg,[List]
Stylish hotel accomodation in a perfect location.,10,Fantastic view from the balcony. clean and comfortable room. service was impeccable.,No self laundry or cooking facilities. Hotel laundering prices were too expensive. Also a microwave in the room would have been appreciated.,Helen,Family,Deluxe Double or Twin Room with Balcony,9,"22, 2022",Australia,au,[List]
nil,8,the view,no bidet,Roy,Couple,Harbor Studio,3,"17, 2022",Singapore,sg,[List]
very relaxing,10,very clean and quiet,the swimming pool is too small for so many people,Candy,Couple,Deluxe King or Twin Room,1,"17, 2022",Singapore,sg,[List]
A great place to do business in Singapore,8,"Great location, good service, fair prices",",",Neil,Solo traveler,Deluxe King or Twin Room,3,"16, 2022",Australia,au,[List]
We had the most amazingly fun time bonding as a family♥️,10,Facilities and the location is a good. View from the room is amazing. love the comfort and clean room. the tub is spacious! Services are excellent.  Kids friendly and my daugther loves no other hotel but Pan Pacific. ♥️ The pool and the urban jungle play area. No complaints.,Well could enhance the kids food selection and the rate can be a little lesser.,Josephine,Family,Panoramic King or Twin Room,2,"11, 2022",Singapore,sg,[List]
"for the price, i think it is worth it.",9,breakfast was good but the variety could have been more,,Cher,Couple,Deluxe King or Twin Room,1,"9, 2022",Singapore,sg,[List]
Exceptional,10,The size of the room and the helpful staff at the reception and the lounge.,The housekeeping was wearing shoes into the room(stepping on the carpet) while delivering stuff,Michele,Couple,Pacific Club Harbor Studio,2,"8, 2022",Singapore,sg,[List]
Exceptional experience overall,10,"The hotel cleanliness, aesthetics and staff support and hospitality was exceptional. Loved the food and drinks at the Atrium!",,Chaand,Couple,Deluxe Double or Twin Room with Balcony,3,"8, 2022",Australia,au,[List]
Very Good,8,"I appreciate their staff are smiley i.e. at the main entrance, during afternoon tea and evening cocktail at level 38.","We are with pacific club access, however they seemed to be understaffed during breakfast hours. Its a little difficult to get their attention.",Anonymous,Group,,2,"26, 2020",Singapore,sg,[List]
Exceptional,10,"The hotel staff made me and my family feel welcome the moment we stepped through the door, thank you for making our stay so pleasant. Would recommend the club lounge access and would love to return someday.",,Anonymous,Family,,1,"25, 2020",Singapore,sg,[List]
Thank you Pan Pacific!,8,"love the cosy room, comfy bed, bathub & big swimming pool area for kids",nil,Anonymous,Family,,2,"24, 2020",Singapore,sg,[List]
Very Good,8,"The reception staff, Risee was really polite, friendly and able to answer all the queries. Even with a mask on, she still greeted my family and I with a smile and listening attentively. Well done and keep up the good work!",There could be more varieties for the breakfast ala carte buffet and there were also no bedroom slippers available.,Anonymous,Family,,1,"21, 2020",Singapore,sg,[List]
Very Good,8,Excellent services from the staff throughout the hotel. Convenient location.,The food at this facility is not the greatest. Food quality needs area of improvement.,Anonymous,Family,,2,"19, 2020",Singapore,sg,[List]
Exceptional,10,"amenities were fantastic and they afforded us a late checkout, couldnt ask for more!",NIl,Anonymous,Group,,1,"19, 2020",Singapore,sg,[List]
Wonderful,9,"Location,  decors,  space,  view,  very friendly and helpful staff","The rain shower was not working.
No slippers given
No cabinet not hangers to hang clothes",Anonymous,Group,,1,"18, 2020",Singapore,sg,[List]
Exceptional,10,Room are very clean. Excellent location as we can easily get our food from Suntec and Marina Square. No problem walking to City Hall as there are underpass link.,,Anonymous,Couple,,2,"16, 2020",Singapore,sg,[List]
Very Good,8,Express checkout,Slow checkin,Anonymous,Couple,,1,"15, 2020",Singapore,sg,[List]
"great location, great hotel, could do better in room cleanliness",8,"huge room, nice luxurious layout","room was not totally clean, seems they were too busy to do a thorough job",Anonymous,Solo traveler,,1,"21, 2020",Malaysia,my,[List]
Definitely My Choice of Stay,10,"The view is excellent, the staff is very helpful and friendly. When I expect to change the room, the staff attend me promptly. The breakfast is also excellent, and the facilities at the swimming pool really exceed my expectation, it' the cleanest swimming pool I ever encountered.","The check-in is slow, I would expect check-in within 3 minutes, while it appears not that efficient. There's only 2 bottles of water inside the room, the minibar only has sparkling water not mineral water.",Anonymous,Couple,,1,"27, 2020",Singapore,sg,[List]
Good,10,STAFF is Good. Room cleaning was quick.,Nothing.,Anonymous,Solo traveler,,1,"17, 2020",Japan,jp,[List]
Exceptional,10,"Really liked everything in this hotel, location, the room, the breakfast, the friendly staff and also the price was fair for the services I got. I am thinking to stay in Pan Pacific every time I visit Singapore.",There is nothing I didn't like in this hotel. the staff were very friendly and cooperative and the facilities were excellent. I enjoyed everything there during my stay and I would recommend Pan Pacific for everyone.,Anonymous,Solo traveler,,1,"28, 2020",Canada,ca,[List]
Very Good,8,Service,-,Anonymous,Couple,,1,"5, 2020",Singapore,sg,[List]
Thoroughly enjoyed our stay,9,Breakfast was very good indeed with an enormous choice.,,Anonymous,Couple,,3,"5, 2020",United Kingdom,gb,[List]
Exceptional,10,"Room, facilities,  staffs.","Very professional front line staffs,  polite, courteous and always ready to assist.",Anonymous,Couple,,1,"3, 2020",Singapore,sg,[List]
Very good experience for first visit,9,Pleasant door staff when leaving and arriving. Very helpful,The difficulty in adjusting lights in room. Too complicated,Anonymous,Couple,,4,"27, 2020",Australia,au,[List]
Exceptional,9.6,Good,,Anonymous,Family,,4,"24, 2020",Mongolia,mn,[List]
Exceptional,10,The location and the staff,,Anonymous,Family,,7,"18, 2020",Kuwait,kw,[List]
Exceptional,10,"Nothing wrong, no improvement suggestions 
Good location, nearby eating and shopping, central
Great staff 
Good value f money",Nothing,Anonymous,Solo traveler,,4,"17, 2020",China,cn,[List]
"You can’t beat the quality of the room, and the location is superb.",10,"Although this is a very large hotel, the room was amazingly well appointed with features I’ve never seen in my many years of world travel. The location is close to all the main points of interest, and very walkable.","If I want to be very picky, the TV wasn’t working. I didn’t complain because it was rather refreshing to have some relief from my addiction to all the distressing world news!",Anonymous,Solo traveler,,1,"12, 2020",United States of America,us,[List]
Exceptional,9.6,Good location,Nothing,Anonymous,Family,,3,"12, 2020",Saudi Arabia,sa,[List]
very good,8,excellent,,Anonymous,Couple,,4,"12, 2020",United States of America,us,[List]
"Stayed in room with balcony with perfect views. Comfy bed , superb superb breakfast, excellent staff",9,"Stayed in room with balcony with perfect views. Comfy bed , superb superb breakfast, excellent and friendly   Staff. Pancific is our home away from home - will come back again soon!",None keep it up,Anonymous,Family,,1,"11, 2020",New Zealand,nz,[List]
Exceptional,10,Hotel was excellent and we throughly enjoyed our stay,,Anonymous,Family,,3,"9, 2020",United Kingdom,gb,[List]
Very Good,8,,,Charo,Couple,25-Hours Vacation - Panoramic King or Twin Room,1,"2, 2022",Singapore,sg,[List]
Exceptional,10,,,Ivy,Couple,Deluxe Double or Twin Room with Balcony,3,"1, 2022",Singapore,sg,[List]
Wonderful,9,,,Nor,Family,Harbor Studio,1,"1, 2022",Singapore,sg,[List]
Very Good,8,,,Mohamed,Couple,Deluxe King or Twin Room,1,"1, 2022",Singapore,sg,[List]
Wonderful,9,,,Douglas,Family,Deluxe Double or Twin Room with Balcony,2,"1, 2022",United Arab Emirates,ae,[List]
Exceptional,10,,,Muriel,Couple,Harbor Studio,3,"31, 2022",Australia,au,[List]
Exceptional,10,,,Zulfadhli,Family,Panoramic King or Twin Room,2,"31, 2022",Singapore,sg,[List]
I highly recommend this hotel for comfort stay.,9,,,Khanna,Group,Deluxe King or Twin Room,3,"29, 2022",India,in,[List]
Exceptional,10,,,Atiqah,Family,Deluxe King or Twin Room,2,"29, 2022",Singapore,sg,[List]
Exceptional,10,,,Mohamed,Couple,Deluxe Double or Twin Room with Balcony,1,"28, 2022",Singapore,sg,[List]
Very Good,8,,,Reno,Family,Deluxe Double or Twin Room with Balcony,2,"28, 2022",Singapore,sg,[List]
Exceptional,10,,,Sayan,Group,Deluxe Double or Twin Room with Balcony,2,"28, 2022",Singapore,sg,[List]
Exceptional,10,,,Jannah,Couple,Panoramic King or Twin Room,1,"27, 2022",Singapore,sg,[List]
Wonderful,9,,,Siti,Couple,Deluxe King or Twin Room,4,"26, 2022",Singapore,sg,[List]
Exceptional,10,,,John,Family,Deluxe Double or Twin Room with Balcony,1,"25, 2022",Singapore,sg,[List]
Wonderful,9,,,Yang,Family,Deluxe Double or Twin Room with Balcony,8,"24, 2022",Australia,au,[List]
Wonderful,9,,,Thomas,Family,Deluxe Double or Twin Room with Balcony,1,"24, 2022",Singapore,sg,[List]
Exceptional,10,,,Poh,Couple,Panoramic King or Twin Room,3,"23, 2022",Singapore,sg,[List]
Very Good,8,,,Desmond,Solo traveler,Deluxe King or Twin Room,1,"23, 2022",United Kingdom,gb,[List]
Exceptional,10,,,John,Couple,Pacific Club Harbor Studio,2,"22, 2022",Singapore,sg,[List]
Wonderful,9,,,Venkatramani,Group,Skyline Suite,6,"22, 2022",India,in,[List]
Wonderful,9,,,Jukka,Group,Pacific Club Harbor Room,4,"22, 2022",Finland,fi,[List]
Exceptional,10,,,Andre,Couple,Harbor Studio,1,"22, 2022",Singapore,sg,[List]
Very Good,8,,,Jia,Couple,Deluxe Double or Twin Room with Balcony,1,"21, 2022",Singapore,sg,[List]
Wonderful,9,,,Jacqueline,Solo traveler,Deluxe Double or Twin Room with Balcony,1,"21, 2022",Singapore,sg,[List]
Very Good,8,,,Ijaz,Family,Harbor Studio,5,"25, 2022",Pakistan,pk,[List]
Wonderful,9,,,Muna,Solo traveler,Deluxe King or Twin Room,1,"25, 2022",Saudi Arabia,sa,[List]
Wonderful,9,,,Muna,Solo traveler,Deluxe King or Twin Room,1,"25, 2022",Saudi Arabia,sa,[List]
Exceptional,10,,,Chik,Solo traveler,Panoramic King or Twin Room,1,"25, 2022",Australia,au,[List]
Exceptional,10,,,Tina,Family,Connecting Harbor Studio Room,3,"24, 2022",Australia,au,[List]
Exceptional,10,,,Feiling,Couple,Deluxe King or Twin Room,1,"23, 2022",United Kingdom,gb,[List]
Wonderful,9,,,Helmi,Couple,Deluxe Double or Twin Room with Balcony,1,"23, 2022",Singapore,sg,[List]
Very Good,8,,,Ijaz,Family,Panoramic King or Twin Room,6,"21, 2022",Pakistan,pk,[List]
Very Good,8,,,Ijaz,Family,Panoramic King or Twin Room,6,"21, 2022",Pakistan,pk,[List]
Wonderful,9,,,Bhavin,Family,Harbor Studio,9,"20, 2022",India,in,[List]
Very Good,8,,,Matthew,Group,Panoramic King or Twin Room,2,"20, 2022",Australia,au,[List]
Very Good,8,,,Muna,Solo traveler,Deluxe King or Twin Room,1,"19, 2022",Saudi Arabia,sa,[List]
Exceptional,10,,,William,Solo traveler,Harbor Studio,1,"19, 2022",United States of America,us,[List]
Very Good,8,,,Satyen,Family,Harbor Studio,7,"18, 2022",India,in,[List]
Very Good,8,,,Ling,Family,Panoramic King or Twin Room,3,"18, 2022",Singapore,sg,[List]
Exceptional,10,,,Mansour,Family,City Suite,19,"17, 2022",Saudi Arabia,sa,[List]
Wonderful,9,,,Angel,Solo traveler,Pacific Club Harbor Studio,2,"16, 2022",Australia,au,[List]
Exceptional,10,,,Emily,Solo traveler,Deluxe King or Twin Room,3,"15, 2022",Vietnam,vn,[List]
Exceptional,10,,,Krylov,Group,Deluxe Double or Twin Room with Balcony,1,"12, 2022",Australia,au,[List]
Very Good,8,,,A,Family,Deluxe Double or Twin Room with Balcony,3,"12, 2022",Singapore,sg,[List]
Exceptional,10,,,Ignatius,Couple,Harbor Studio,2,"11, 2022",Singapore,sg,[List]
Very Good,8,,,A,Family,Deluxe Double or Twin Room with Balcony,2,"11, 2022",Singapore,sg,[List]
Very Good,8,,,Melissa,Family,Harbor Studio,3,"11, 2022",Australia,au,[List]
Exceptional,10,,,Song,Family,Harbor Studio,1,"11, 2022",China,cn,[List]
Very Good,8,,,Bassem,Family,Deluxe Double or Twin Room with Balcony,7,"5, 2022",Australia,au,[List]
Good,7.9,,,Anonymous,Solo traveler,,1,"27, 2020",Singapore,sg,[List]
Exceptional,9.6,,,Anonymous,Family,,2,"18, 2020",Australia,au,[List]
Exceptional,10,,,Anonymous,Family,,2,"16, 2020",United Kingdom,gb,[List]
Exceptional,10,,,Anonymous,Group,,3,"9, 2020",Japan,jp,[List]
Exceptional,9.6,,,Anonymous,Family,,3,"9, 2020",India,in,[List]
Exceptional,10,,,Anonymous,Couple,,1,"1, 2020",Singapore,sg,[List]
Wonderful,9,,,Anonymous,Couple,,1,"26, 2020",Singapore,sg,[List]
Wonderful,9,,,Anonymous,Couple,,1,"25, 2020",Saudi Arabia,sa,[List]
Exceptional,10,,,Anonymous,Couple,,1,"16, 2020",Netherlands,nl,[List]
Exceptional,10,,,Anonymous,Couple,,1,"16, 2020",United States of America,us,[List]
Wonderful,9.2,,,Anonymous,Couple,,1,"11, 2020",United Kingdom,gb,[List]
Exceptional,9.6,,,Anonymous,Couple,,1,"5, 2020",United Kingdom,gb,[List]
Exceptional,10,,,Anonymous,Family,,3,"5, 2020",Romania,ro,[List]
Exceptional,10,,,Anonymous,Family,,1,"4, 2020",Malaysia,my,[List]
Wonderful,9,,,Anonymous,Family,,3,"24, 2019",United States of America,us,[List]
The experience was marvelous. Couldnt ask for more.,10,,,Anonymous,Couple,,1,"16, 2019",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Couple,,3,"23, 2019",Japan,jp,[List]
Exceptional,10,,,Anonymous,Solo traveler,,2,"16, 2019",Australia,au,[List]
Excellent,8.8,,,Anonymous,Solo traveler,,1,"15, 2019",Hong Kong,hk,[List]
Excellent,8.8,,,Anonymous,Solo traveler,,3,"10, 2019",Netherlands,nl,[List]
Exceptional,10,,,Anonymous,Couple,,2,"10, 2019",United Kingdom,gb,[List]
Very Good,8.3,,,Anonymous,Family,,5,"6, 2019",United Kingdom,gb,[List]
Good,7.9,,,Anonymous,Couple,,3,"5, 2019",New Zealand,nz,[List]
Exceptional,10,,,Anonymous,Family,,2,"26, 2019",India,in,[List]
Wonderful,9,,,Anonymous,Couple,,1,"17, 2019",Australia,au,[List]
Excellent,8.8,,,Anonymous,Couple,,4,"11, 2019",Germany,de,[List]
Good,7.5,,,Anonymous,Family,,2,"10, 2019",Japan,jp,[List]
Wonderful,9.2,,,Anonymous,Solo traveler,,4,"3, 2019",Israel,il,[List]
Exceptional,10,,,Anonymous,Group,,3,"2, 2019",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Group,,3,"29, 2019",China,cn,[List]
Fair,5.4,,,Anonymous,Couple,,1,"27, 2019",Singapore,sg,[List]
Good,7,,,Anonymous,Solo traveler,,1,"31, 2019",Switzerland,ch,[List]
Very Good,8.3,,,Anonymous,Couple,,2,"13, 2020",Germany,de,[List]
Wonderful,9.2,,,Anonymous,Group,,7,"12, 2020",Saudi Arabia,sa,[List]
Very Good,8.3,,,Anonymous,Family,,3,"6, 2020",Japan,jp,[List]
Wonderful,9,,,Anonymous,Couple,,2,"5, 2020",Canada,ca,[List]
Exceptional,9.6,,,Anonymous,Family,,2,"25, 2019",Martinique,mq,[List]
Exceptional,9.6,,,Anonymous,Group,,2,"23, 2019",Croatia,hr,[List]
Exceptional,10,,,Anonymous,Solo traveler,,1,"18, 2019",Singapore,sg,[List]
Wonderful,9.2,,,Anonymous,Couple,,3,"4, 2019",Thailand,th,[List]
Very Good,8,,,Anonymous,Family,,5,"4, 2019",China,cn,[List]
Very Good,8,,,Anonymous,Solo traveler,,1,"1, 2019",Germany,de,[List]
Exceptional,10,,,Anonymous,Group,,1,"25, 2019",China,cn,[List]
Exceptional,10,,,Anonymous,Group,,3,"24, 2019",China,cn,[List]
Exceptional,10,,,Anonymous,Family,,4,"17, 2019",Japan,jp,[List]
Exceptional,10,,,Anonymous,Couple,,4,"16, 2019",Germany,de,[List]
Exceptional,10,,,Anonymous,Couple,,4,"10, 2019",Brazil,br,[List]
Exceptional,9.6,,,Anonymous,Family,,4,"10, 2019",Italy,it,[List]
Exceptional,10,,,Anonymous,Family,,1,"10, 2019",Japan,jp,[List]
Very Good,8.3,,,Anonymous,Couple,,4,"3, 2019",Sweden,se,[List]
Exceptional,9.6,,,Anonymous,Solo traveler,,2,"3, 2019",Sweden,se,[List]
Wonderful,9.2,,,Anonymous,Solo traveler,,3,"1, 2019",Germany,de,[List]
Exceptional,10,,,Anonymous,Group,,1,"1, 2019",Switzerland,ch,[List]
Exceptional,9.6,,,Anonymous,Couple,,3,"31, 2019",Italy,it,[List]
Exceptional,10,,,Anonymous,Couple,,3,"18, 2019",Ecuador,ec,[List]
Exceptional,9.6,,,Anonymous,Group,,2,"13, 2019",Japan,jp,[List]
Exceptional,10,,,Anonymous,Couple,,5,"12, 2019",Japan,jp,[List]
Poor,3.3,,,Axel,Couple,Harbor Studio,1,"12, 2020",Germany,de,[List]
Good,7.1,,,Saskia,Solo traveler,Deluxe King or Twin Room,3,"3, 2020",Germany,de,[List]
Good,7,,,Jinyang,Family,Panoramic King or Twin Room,4,"31, 2019",China,cn,[List]
Good,7,,,Marko,Family,Special - Deluxe Balcony,4,"22, 2019",Estonia,ee,[List]
Pleasant,6,,,Petra,Couple,Special - Deluxe,4,"22, 2019",Switzerland,ch,[List]
Disappointing,4,,,Sapphirestef,Solo traveler,Special - Pacific Club,5,"2, 2019",Germany,de,[List]
Good,7,,,Shigehiro,Group,Pacific Club Harbor Room,1,"25, 2019",Japan,jp,[List]
Pleasant,6.2,,,Yixin,Family,Deluxe Double or Twin Room with Balcony,3,"3, 2019",China,cn,[List]
普通,6,,,Atsushi,Couple,Deluxe Double or Twin Room with Balcony,1,"31, 2019",Japan,jp,[List]
Exceptional,10,,,Anonymous,Family,,1,"2, 2022",Singapore,sg,[List]
Wonderful,9.2,,,Anonymous,Couple,,2,"15, 2020",Germany,de,[List]
Exceptional,9.6,,,Anonymous,Couple,,6,"12, 2020",Germany,de,[List]
Wonderful,9,,,Anonymous,Solo traveler,,1,"10, 2020",Germany,de,[List]
Wonderful,9,,,Anonymous,Couple,,2,"8, 2020",Singapore,sg,[List]
Wonderful,9,,,Anonymous,Couple,,2,"29, 2020",Germany,de,[List]
