Review title,Username,Review,Rating,date,traveller_type
Its a new magic every time..,Rishi Dakalia,"Imagine this.  You arrive Singapore at 6 in the morning after a 5 hour flight. You take a local taxi from the airport to your hotel hoping that you get the room earlier than the standard Check In time.  Magic happens the moment you arrive the hotel. You are greeted by a gentleman who already knows you, by name and knows that you have travelled on a night flight.   Another gentleman come to escort you inside the hotel but instead of taking you to the reception, he takes you straight to your room. Check in formalities are done in the room while your bags follow.   I am in my rooms in less than 5 mins of arriving at the hotel.   I wonder which other 600+ room city hotel in the world can do this.  Needless to say, rooms was allocated as per my preference since I have stayed at Ritz…",5,September 2022,Travelled on business
We will keep coming back every time we visit Singapore!,Mariana G,"There is always a danger that a past experience that was exceptional in every way can be marred when revisited.  You know the feeling when you walk into a hotel lobby and see things differently from the first time as it is not a new experience anymore? The eye is a little more critical, expectations have been built on from years of no travel and memories are embellished possibly enhancing what may not have been there before. Maybe it is the tired looking treatments that you don’t remember seeing before or the team that welcome you have lost their genuine enthusiasm, responses are duller.  Was the attention to detail and the preemptive response from everyone at the property generously imagined from the past visit?    I have experienced that feeling before and that is why my…",5,September 2022,Travelled as a couple
First time in Singapore,Phil R,We love the brand and this hotel was lovely. The style of the Hotel was not as beautiful as others we have stayed at but it was still very nice.  There was some construction going on at the Hotel which was annoying but not too bad.  We would stay here again as the staff and food were incredible.,5,September 2022,Travelled as a couple
Perfect weekend staycation spot 💖,Tricia L,"When we planned this stay, we didn't tell anyone that we were newly weds. But we were treated so well by the staff, it made our experience a truly memorable one 😊  When we arrived at the reception an hour later than check-in, it was clear that the staff were busy and so we were expecting quite a wait. Our room wasn't ready at the moment but our receptionist Cally was quick to respond and that put us at ease at the start of our vacation. She offered us a nice time at the bar while waiting, where the Mr enjoyed a very fragrant pot of Pai Mu Tan Melon Tea (I highly recommend it!) and I had a nice chocolate tart and coffee.  To compensate us further for our wait, which was less than an hour, they gave us late check-out, complimentary breakfast on each day of our stay and some…",5,August 2022,Travelled as a couple
our stay in Ritz Singapore,V M K Perth,"We stayed in this hotel for 6 nights from 24 July to 30 July.  We had a fantastic stay in a Club room for the six nights. The staff at the entrance were very polite and helpful and took us straight to the Club lounge for checking in.  All the club lounge staff have excellent manners and they were very helpful and were ready to look after us. Our special thanks to Chuckie and  Jithra  for their service. Some of the names for special mention are Fadullah, Aishya, Sathish, and the rest of the crew (sorry forgot your names) at the club lounge.  Our special thanks to Mr Kong and Mr Tang for their pleasant helpful assistance. We were happy to take a photo with Mr Kong.  We hope to come back in the future.",5,July 2022,
Downgraded from King to twin,jobes888,"Arriving at 10:00 PM on an intl’ flight only to get downgraded from a king to a twin due to an overbooking issue on their side.   They offered absolutely ZERO when they made the change. Then they capitulated to a free breakfast. I don’t want a free breakfast, I want the room I booked. You have absolutely no recourse when they pull this motel stunt on a late check in. Their total lack of concern on rectifying the  situation falls very short of the Ritz. Highly disappointed. Will never stay at this odd ball Ritz that does not follow franchise rules or offer points ever again.",1,August 2022,Travelled on business
Still the best Marina view,RRJ5,"Stayed again after two-years and still as amazing as my previous stays. Still the best room view of Marina (totally worth to book this room type), even got to watch the NDP fireworks and performances directly room the room window, will visit again for sure.",5,July 2022,Travelled on business
Great location,Marc J,"Great location in Singapore. Fantastic Hospitality and professionalism.  Recently renovated restaurants.   We were welcomed by Lavin, who actually remembered us from our last stay a few years ago.  Staff went the extra mile to assist. We received excellent assistance from the staff. Some of the names who I can remember are Kumar, Dexter, Smita, Michelle, Alfian, Lavin, amongst others.  Dickson and Dexter actually took time to bid farewell to us and was kind enough to check that we had all our travel documents and baggage.   Rooms are spacious, walk-in shower, bath with all amenities. Excellent view.  Hotel is linked to the Millenia Walk and within walking distance to the MBS Mall.  We will return.",5,August 2022,Travelled as a couple
Rooms to absolutely avoid,listenwell,"A biz partner and myself stayed in two different rooms. One both facing the marina, so the more premium rooms, one would think. My room was therefore on the side of the elevator ducts. Between the room and the elevators there was a service station, so I was not even directly next to the elevators.   I could here the elevators railing up and down as if I were next to a subway. The other room was separated by one room from the elevators, same outcome.   Recommendation after a painful stay:  INSIST on a room at last 3 rooms off the elevators when booking. You will NOT get a good nights rest. the prices are steep, so getting a room with such noise pollution is unacceptable.  Also, this Ritz does not participate in the Marriott program like other hotels of the chain; however they…",1,August 2022,Travelled on business
My favourite stay in Singapore,rLin,"Ritz Carlton Millenia is a beautiful hotel with a spectacular Marina Bay view and good restaurants and bars. I always enjoy my stay at Ritz but what attracts me going back is the excellent customer service. And there are a few individuals who I would like to compliment.   Dickson, the VIP Service supervisor is very warm, friendly, helpful and efficient. He always tries his best to accommodate his customers’ needs and requests. He always greets me on arrival and treats me with a surprise gift. In my last stay, I asked him where to buy the bean chocolates which my husband fell in love with. I was disappointed that the bean chocolates were not saleable but Dickson managed to get a tiny jar of them for me. Thanks for his assistance which was highly appreciated.  Arulganth also…",5,August 2022,Travelled with family
Good as always,Gershman,Like Nothing Changed.   Back after a 3 year hiatus and only just checked out but can’t wait to go back again.   The club lounge remains worth splurging on however the food selection wasn’t as good as I remembered from our previous visits. Staff were attentive as always and Chuckie and Jithra always seemed to be around to assist with any queries.   We had a great time in Republic which is an absolute asset to the hotel. Drinks and bar food were excellent and we saw some familiar faces from years ago which was nice. Martin sure knows how to make an excellent old fashioned!   The rooms are showing it’s age. We were in a suite and there’s wear and tear showing. Cleanliness and housekeeping service are of a high standard but a refresh in decor and design is overdue. It wouldn’t stop…,5,August 2022,Travelled as a couple
Afternoon tea at Republic,ECFoodNTravels,"We had a long awaited tête à tête over afternoon tea at Republic, Ritz Carlton. Of course everything was impeccable. Service was attentive, prompt and friendly. We chose Republic over Colony for afternoon tea because the menu seemed to have less “fusion” with local flavours. I like my afternoon tea fare to be an unadulterated English tea with proper sandwiches and scones (as much as possible, anyway).  The highlight, hands down, was the salmon pithivier with diced truffle mushrooms in a champagne sauce. It’s such a lovely little pie.  And anything with truffles and champagne can’t go wrong, can it?  As expected, the scones were nice and warm, but I honestly prefer mine on the more buttery and crumbly side. The squid ink brioche with smoked salmon and herb mousse was another…",5,June 2022,Travelled with friends
Best staycation - Home away from home!,Lyn Ee,"Ritz will always be my first choice for Staycation!  All the staffs (even at the restaurant & bar) are so warm and friendly, no matter when I meet any staff, a warm greeting would be exchanged. I am always pleasantly surprised when I return after shopping nearby, the doorman will always say 'welcome back'. The amount of details that go around these people is really meticulous!",5,August 2022,
Wonderful staycation at Ritz-Carlton Singapore,audreyling2014,"Everything about the hotel was perfect - staff service was very personalised at the frontdesk, club, pool etc. It felt like staff went out of their way to help us with every single item. At the Club Lounge, staff was friendly with my child so that made us feel very welcome. At the swimming pool, the staff served us our towels and drinks because it was NDP, and made sure we were not lacking in anything. The room was so comfortable, with a perfect view of the floating platform to watch the entire NDP. The kids friendly night safari tent was perfect too - made my boy sleep in it the entire night by himself. Thank you so much to everyone at the hotel. We are smitten by your service and we will definitely be back.",5,August 2022,
"Fading star - not luxury, not personalised, not high touch: now just average.","Chris J ""Mohawk"" Reed","Fading star  This used to be the best hotel in Singapore but no more, the attention to detail that the RC is known for and the level of personalised service has gone. Here’s our experience:  I booked the RC for my wife;s birthday and NDP in 2021 and it was cancelled with a week to go because the hotel became a SHN hotel, no real apology, no re-booking just cancelled. This left us with no where to go so I hoped for better things and booked 9 months ago for my wife’s birthday and NDP in 2022.  I had booked the Club Lounge Suite and asked the Club Lounge if they could have a sign saying Happy Birthday and some decorations to surprise my wife. Previously I had got this for free. They came back with a price list! But it did say that I could personalise the sign.   I asked them to.…",3,August 2022,
Singapore National Day Celebration - Thank Ritz Carlton Staffs for a great Service to Family!,Hin99,"1. Singapore is 57years old, after a tough COVID period for 2 years, the best way to celebrate is to book a great hotel in Singapore to celebrate her birthday!  This is also the last time NDP celebrate at the float as it will give way for the construction of NS square in the next few years.    2. The service at the Ritz Carlton was exceptional. There was absolutely no issue that was not addressed timely and with satisfactory results.   Our family were particularly impressed with how the hotel staff anticipated our needs. Numerous communications to ensure the need and wants of our family are confirmed & delivered.    3. We stayed at the Singapore Ritz Carlton (SRC) for 1 night on 9 Aug 22, and it turn out to be the loveliest place to stay, with clean and comfortable rooms, and…",5,August 2022,
Family Staycation over National Day Marina Bay View,muadvice,"Memorable stay at Ritz Carlton over the National Day with my family and 4 kids.  A big thank you to front desk manager Mr Kanga for attending to our enquiries. He was able to resolve and meet our family needs and we sincerely appreciate his patience in attending to us.  During our stay we were boiling water using the  flask in our room and the power tripped. We made a call to the concierge for assistance. We are truly impressed that while the hotel had many guest due to National Day the technician arrived within mins and resolved it.   Big thank you to front desk Jonathan, Lucille, Yuki and the security staffs for your smiles and assistance during our family stay. The warm service by the different teams within Ritz Carlton made a big difference to our family staycation.  We will…",5,August 2022,Travelled with family
Great stay @ The Ritz!,Vanessa Chong,I had a great stay at the Ritz w my friends for a birthfay celebratuon and the service were exceptional! Staffs went above and beyind for us and the ambience of the hotel was superb. Would definitely go back again in the future as the place and service staffs made everything felt like home 🥰😍,5,September 2021,Travelled with friends
Great hotel and Birthday experience!!,Gwen,"Decided to do a staycation with my family on my birthday - The team surprised me by decorating my room with pictures and well wishes! Even prepared a beautiful dessert platter as well!  Shout out to the Colony team as well for the surprise birthday cake - My family and I really enjoyed the buffet as everything was fresh and delicious!! My family and I visited the Republic bar as well after for some drinks and they definitely did not disappoint - Staff were friendly and recommended us a few signature cocktails, so it’s a bar not to be missed!  Overall, had a really great experience here at The Ritz Carlton Millenia, Singapore and will definitely be back with my friends and family for another staycation! :))",5,May 2022,Travelled with family
First class service in a luxury hotel,Chargee,"Was greeted formally at the entrance. Staff were very polite, well dressed and professional in attending our needs throughout the staycations! The bathtub design was absolutely amazing! Certainly a great place for gathering and staycation.",5,August 2022,Travelled with friends
Best hotel experience!,Jiayi,"Having my proposal held in Ritz Carlton Millenia was truly the most memorable experience i ever had! Everything was so perfect, from the best views to the best service! Mr Dickson Soon’s friendly and enthusiastic service was truly commendable and had elevated our whole experience there! We wish to thank Ritz Carlton and Mr Dickson and we look forward to our next visit there!",5,July 2022,Travelled as a couple
Thank You for the wonderful stay!,Ben,Special thanks to Mr Dickson Soon for going out the way to ensure that our stay is enjoyable!! My partner really enjoyed the stay too and can't wait to stay again!! The suite room is really very big and the view is breathtaking!,5,July 2022,Travelled as a couple
Luxury at its peak,Nikhil,"It is a beautiful and luxurious hotel with great service and amenities. The pool is marvelous. It is huge and extremely clean and a joy to swim in. We were in the room facing MBS and it is drop dead gorgeous. Worth every penny. The room itself is very spacious in comparison to other similar hotels. The MBS can be viewed not only from the living area but also while relaxing in their bathtub. From our room, we had views of Gardens by the bay, MBS, Merlion",5,August 2022,Travelled with family
Great stay for work during birthday,Thilanka Abeywardena,"Booked at Ritz Millennia for 5 nights during a work trip. The room was one of the best I’ve stayed. Spacious, modern, two single cosy beds and a great view of the city. Bathroom too was very spacious and specially the bathtub was the best to soak in at the end of a busy day.  Few negatives were the sink draining was a bit slow and I wasn’t happy about cleaning on the last 3 nights.   Buffet had a wide spread and as a vegetarian I had Plenty of choices. There was an Indian section, salad bar, English breakfast etc. Danish pastries were one of the best i tried. Few vegan options too. However I was quite surprised to note that the buffet menus was pretty much the same throughout my entire week. But no complaints as the food was really good. Staff are very good and helpful. At one…",5,July 2022,Travelled on business
Breakfast at Colony,WBin,"The Colony has a vast breakfast spread. We tried their nasi lemak with otak and sambal which is the best amongst all the options. The teochew noodles made fresh on the spot with springy fish balls and fish cakes has a nice broth and lots of toppings to choose from. There is vegetables dal and chicken curry to go with the dosa, idlyappam and prata. The sausages, grilled tomatoes and crispy hash browns were nice. The omelette station is ok, you could ask for more ingredients in the thick omelette cooked to order. The Japanese section offers soba, smoked salmon and assorted pickles. There is chicken Siew mai, lor Mai Kai and pao. The ice cream station has flavors of chestnut, coconut, strawberry, chocolate and vanilla. The wait for the freshly made waffles and banana pancakes is…",5,July 2022,Travelled with friends
Terrible Experience from start to finish,Curiosity784858,"There was a soccer team staying at the hotel the same time I was and the entire place felt like it went into lockdown.  the staff wouldn't let me in the door to go to my room after 19 hours of travel.  I spoke with them through the glass that they wouldnt open, and most waived me off or ignored me entirely - even after I explained to them that I was a guest of the hotel and showed them my key.  This property also doesnt subscribe to the Bonvoy Elite program so you get no points for your stay, and no nights for your status.  Nothing says this unless you click through different links on the site and read the small print.  terrible experience.",1,July 2022,Travelled on business
Perfect hotel with great views!!,TomA_27,Stayed at this hotel for business needs for 5 days. Arrived after a stressful flight but was greeted by the most lovely and welcoming staff who helped me with everything I needed.  Hotel was lovely and clean and our use of the meeting room spaces was great for what we needed.  Rooms were very spacious with the most amazing views from the bathroom!! Great location on the Marina for a walk in the evening!   Would recommend this hotel massively.,5,July 2022,Travelled on business
Singapore's Pioneer Luxury Hotel,Christopher Leung,"Opened for business in the 90s, it was one of the original building/hotels built around the marina, it was and it still is one of the most prestigious hotels in Singapore.  Over the years, it was one of the main ""GO TO"" hotels in SG and it still is, due to the brand recognition.  It has one of the the BEST view any hotel dream to have. If u are able to get the bay view, which happens around 50% of the time, u will have a very memorable view.  With that said, several key things I would like to point out to travellers who r considering this hotel, which isnt something the hotel can change easily or at all. 1) Location, its not too close to orchard or other ""Main"" area, but u do have close proximity to the bay if thats what u want.  2) the build is of older design in an older…",4,July 2022,
"Beautiful hotel, with terrific service; showing its age",Jeremy F,"Great location, overlooking Marina Bay, providing an iconic view of the city (and of all the rehearsals for the upcoming National Day). It’s a large hotel, so the interior spaces are somewhat sprawling - must be over 100 tables in the restaurant, for example. The spaces are grand in scale and architecture, but the interiors are showing their age somewhat, with dated styles and finishes, and some areas showing significant wear and tear. Think of it as grand, old and familiar - like the home of your wealthy, formidable and stylish grandmother.  This theme continued into my corner suite. Fabulous views, dated interiors. And a perplexingly complicated and unintuitive (and hidden!) set of switches to work lights and blinds (a joke among our party after our first night was that it…",5,July 2022,
A few comments during our stay,N N,"The location of the hotel is perfect especially with a family as it is connected to malls (Marina Square, suntec city...) just by walking  and has some nice kids areas to keep them busy.  We booked a suite, which had an absolutely amazing view of the marina bay sands hotel and the whole area. And it was in a very clean condition.   There were some issues that should be mentioned which I hope the hotel should improve.   1. Concierge never answered any phone calls during our stay. We had to go all the way down stairs and ask.  2. Colony restaurant was great however when i called reception they told me I have to book and that there are no bookings for this whole month! As we were heading out of the hotel we passed by Colony and asked one of the staff if there was a table, and to…",3,July 2022,Travelled with family
High Tea at the Ritz in Singapore,gregsW9866VM,"Bring a big hunger.  The experience launches with a glass of champagne (private label for the Ritz from the Barons de Rothschild) and five savory appetizers - our favorite was the dragon's beard (you'll understand when you see it) stuffed crustacean.  Then Hans, the crepe chef, prepares fresh crepes, plus there are on offer a large number (10?) of delicious small sweet bites which you get to eat as many as you wish.  Our favorite was the mango pudding.  The tiramisu was to die for - almost the best we ever had (but it's hard to beat the northern Italian competitor.)  Lots of little chocolates of different flavors and compositions.  Great service - they make you feel welcome, bring fresh plates, replenish the tea.  Be sure and greet Emily, one of the hostesses.",5,July 2022,
Holiday,238keshiaGibson,"Superb hospitality!!! Just arrived SG and everything is just as i imagined! exceptional service from the heart, stunning suites, incredible food and drinks, super friendly staff and management, beautiful outdoor swimming pool, and gym facilities. One of my favourite hotels in the world, I would not stay anywhere else in SG. Highly recommended 🤩",5,July 2022,Travelled as a couple
Truly the epitome of class and luxury,PatrickTerenceLim,"This would have to be the best hotel brand.  From the moment I entered this hotel, I could feel the glamour and class that I would associate with luxury.  I could experience the consistency of the their impeccable service from the main door to the front desk to the front of the Colony restaurant and in the wait staff.  The quality and attention to detail are truly evident. ",5,July 2022,
Fantastic views from marina facing rooms,juzatourist,Booked a stay to watch the parade rehearsal and fireworks - grand marina room had a superb view in air-conditioned comfort. dickson was very helpful with questions before the stay and corine was very sweet to offer my child some snacks.,5,July 2022,Travelled with family
RITZ CARLTON MILLENIA EXPERIENCE,vicky t,"The hotel live up to its name as one of the best hotel in Singapore. Location-wise: 🧡🧡🧡🧡🧡 View from the room : 🧡🧡🧡🧡🧡 Service : 🧡🧡🧡🧡🧡 Facilities: 🧡🧡🧡🧡🧡 Food :  🧡🧡🧡🧡🧡  The only 👎for me is the condition of the hotel carpets. Really needs refurbishing esp. the elevators. Next is the wooden floors, so noisy due to their creaking sounds.  But these dampers will surely be covered by the so so so superb view that the marina Bay windows can offer.  All thumbs up 👍👍 for this.  OVERALL EXPERIENCE 👍👍",4,July 2022,Travelled with family
Worst stay I have ever experienced!,Bek Yao Boon,"We had booked a Club Deluxe Kallang Room with The Ritz-Carlton, Millenia Singapore from 25 – 26 June 2022, and it was a major disappointment.  This disappointment started the moment we were doing our check-in:  1) When we did our check-in at Level 3, our reservation details were not captured accurately in the system. The front desk associate informed us that our reservation was Grand Kallang Room, but the reservation which we paid for was for Club Deluxe Kallang Room. At the same time, the front desk associate checked if we would like a smoking room or non-smoking room, and we requested for a non-smoking room. After that, we were being ushered to the club lounge to complete our check-in.  2) At the club lounge, the staff presented to us our confirmation details, and we noted…",1,June 2022,
The best,Hopee S,"Its the best hotel I've ever stayed in but of course you have to pay the price. Rooms scenic view was excellent and rooms are so big and comfortable . Staff is very nice and helpful. Breakfast was great , had so many choices.",5,June 2022,
Mixed feelings,Lekker001,"Stayed 2 nights at this hotel. Quality level of hotel is good but a bit old school decor. Location is decent but Fullerton is much better located. What bothers me about this property are the very long waiting lines (upon check out, breakfast,…). Also surprising that I booked this hotel via the Bonvoye app but that the hotel is not part of Bonvoye. This creates misunderstandings and frustrations that could have been avoided",3,July 2022,Travelled with family
Highly Recommend,Shavon B,"This is hotel is in a really great location and the rooms are large, super clean, and very comfortable. The breakfast buffet has a huge selection although the layout is a bit confusing. The hotel itself is a beautiful space and the complimentary spa for hotel guest is amazing. The room service was amazing too!",5,June 2022,Travelled with friends
One of the best hotels I've stayed in! Amazing staff. Great location.,Nino Caruncho,"The room was so spacious and very homey. Our vacation was a bit long and if it wasn't for the coziness and roominess of the room then we probably wouldn't have survived....hahaha. Big windows give you big views of either Kallang or Marina Bay. Pool was refreshing especially in SG's hot and humid weather. Location was superb. Malls surround you. Marina Square, Millenia Walk, Suntec, Marina Bay - all walking distance. Staff was all very friendly and always willing to serve. Special shout out to Prakesh from concierge who always approaches us and asks us how we are, where we were going and how our day was. He was always ready to offer his service. Thanks much to Murphy Loh for accommodating our requests. Will definitely come back!",5,June 2022,
Impeccable,Pamela b,"The room was very nice,  the view amazing.  The staff was impeccable,  great customer service.  Food was excellent. I  will stay here again the experience was great.  The hotel was within walking distance to attractions.",5,June 2022,Travelled as a couple
