Review title,Username,Review,Rating
Overpriced - lacked in customer service,Claire C,"We spent ten days at the Pan Pacific. Very central to everything but this hotel was overpriced with room service as well as drinks and sweets. It lacked customer service. We asked for directions to the Big Bus pickup area,  we walked for one and a half ours going around in circles .. eventually the bus stop was only a 15 min walk from our hotel. We showed up and it was closed on Wednesday's . The hotel reception had no idea it wasn’t operable on Wednesday's.  We asked to have drinks and dinner up at  the restaurant on top floor, reception told us we weren’t permitted to go up unless we were staying above 22nd floor. Very disappointing.  We were jibbed but the taxi drivers in Singapore as well. This was our second trip - would not go back again.",2
Consistent service standards from Kelly,Reddotz,"This is our second time at Hai Tian Lou and we were served by Kelly for the second time. We have already treated her as a friend as she was easy going, approachable and made us feel like home. Thanks Kelly for the wonderful experience and making our two birthday meals memorable.",5
Best when you travel with kids,Tif_mack,"Spacious harbour suite with MBS view was very lovely. We enjoyed it very much. Hotel is just a step away from Marina Sq, Suntec City, Millenia Walk - so convenient for foods/supermarket/shops.  Breakfast was excellent - fruits, asian, omelette/egg station, pancake/waffle, fresh juice etc.  My toddler loves the urban jungle (play area) so much, I would definitely recommend if you are traveling with kids. It is small, but very well decorated. Pools were great with bar next to it. Thank you for providing kid’s ammenities and the lovely treats surprise prior to arrival. We love our stay and we shall be back!   Cons:  construction noise during the day, unfortunately we cant nap, very disadvantage if you have a light sleeper child. pillows were too soft, I didn’t ask if we can request…",5
Group Dinner,Cecilia S,"We booked the Pavilion of Keyaki restaurant for our team dinner. Glad to have the cozy venue dedicated to all our team members and our food pre-ordered  are all well prepared and served on time.   Serving crew, Wan and Joseph who were assigned were attentive, poised and respond to our service requirements promptly.  We love the grilled lobster with cod roe sauce. Absolutely delightful 😘 Will definitely order this again.   Yes, our verdict and unanimous vote that it is our top pick for venue and food.   Cecilia",5
Teppanyaki @ Keyaki Pan Pacific Hotel,Claire,"Had the Hana set with lobster, sashimi and scallops. Excellent food and service by Chef Tommy Yeo. Nice premium casual setting for a nice evening out with friends. A friendly chef always helps make the evening enjoyable. Highly recommended!",5
WAITER STEVEN,Rosalind Goh,"Steven is very kind and helpful. He provided us with excellent service. We have a very memorable experience at the restaurant because of Steven.  I will come back to Edge again because of his good  service.  Edge is very blessed to have a good employee like Steven.   In my opinion, the seafood buffet wasn’t really worth the price charged at $115 as the chilli crab meat were soft and not fresh. The crabs were small too. I was expect pure cheese lobsters and oysters as mentioned in the menu but it was not as appealing as it sounded.   The restaurant also demanded for advance deposit payment for late cancellation. I expected a seafood buffet from Edge to be of better quality than other restaurants. It was quite a disappointment despite its wide variety of dishes. Tea was also …",5
Fantastic teppanyaki,rachel,Brilliant night at Keyaki Japanese restaurant. Chef Tommy Yeo’s teppanyaki was fabulous and made my daughter’s 16 birthday a memorable one. Wagyu beef and lobster - the food was absolutely fantastic and perfectly cooked. Thanks Chef Tommy,5
Best dinner experience at the Edge,Vicki Z,"Out dining experience was brilliant. Quality food, fresh and delicious seafood and more, an extensive smorgasbord of food , it was unbelievable and never ending with an array of choices. The staff were all very friendly and helpful. Definitely recommend and a highlight of our trip.",5
Great dim sum selection and service!,Sheena L,"Dined at Hai Tien Lo today and had a selection of Dim Sum and dessert based on Manager, Mr John Ong's recommendation.   Food quality was good, fresh and it was such a short by satisfying lunch. Paulyn was great with her service and very attentive.   Definitely worth a visit!",5
Yummy Teppanyaki with a great view,Anna Y,"Been to Keyaki afew times and its the first time for me to try their teppanyaki menu. Chef Tommy is very friendly and we ordered based on his recommendation. We truly enjoyed our lunch, not only the food is fresh and price worthy, we get to enjoyed a little bit of stunt show from Chef Tommy. Please order the beef fillet, the meat is soooo tender 🥰 Chef Tommy never disappoint!",5
BEST TEPPANYAKI IN TOWN,Kadson,"Had a wonderful Teppanyaki Lunch at Keyaki. Feels like we are in Japan. Our Chef Tommy Yeo was friendly in serving us, patiently recommended the menu and prepared a tasty meal for my wife and me. Will visit again!",5
None,Nathavuth,"I am enjoy with my stay in this hotel, staffs are friendly and help-full. Location is very good close to the key attractions place and very convenient for transportation. Many shopping center around  there.  Food are yummy and clean. I would recommend to there this hotel as it offer good price with excellent services.",5
High tea,Shirley g,The staff is very helpful and friendly especially kishore lemma! He is very friendly and fun to chat w! Food is ok but ambience and place is good for a afternoon of relaxation and fun. Excellent place for afternoon of fun,4
Great Hotel let down by disappointing Club experience,Peter I,"We have been staying at the PanPacific for many years. It has always been our hotel of choice. We returned after the couple of years od covid lockdown expecting the hotel to be the same as the pre-covid days. We stayed for 13 nigts from 27 JUne 2022 to 10 July 2022.  The hotel itself is the same and the Club suites are just as they used to be. The staff at the Club lounge (eg Shine, Macluther are still there are doing a wonderful job as they always have. A lovely group of professional and attendtive staff - who have become friends over the years). We stayed for 2 weeks. Lovely suites. Great check in experience and great communication from Shine, who was always extremely helpful and professional. But the overall experience was very disappointing. The new management of the Hotel…",4
Afternoon Tea @ Atrium,Cullen G,We came to Atrium in the lobby of the PanPacific hotel for the afternoon tea. The ambiance was absolutely wonderful. The service was fantastic and the hosts were very friendly. The menu has just changed to include some more Singapore-specific items and we loved trying these unique dishes.,5
Good nice,koganei83,Paulyn and Mr Chow helped to serve us. They were very helpful. The food is nice and delicious. worth coming back. Some of the food that are nice includes the desert and dim sum.   The ambience is also very good. And the staff are all very helpful and attentive.,5
Mrs,Eva,Nice hotel with excelent  service and facilities   Very good restaurant and comfort bedroom and big size Good area near shopping mall .  And many facilities and the hotel clean and safe for tourist. I will be back if I visit singapore again. Nice lobby hotel with good interior make me relax stay in Pan pacific Hotel.,5
Sunday brunch,Irene W,"One of the best Sunday brunch in tow.  We were served by friendly Janice with generous pour of free flow champagne. Very attentive and great service by Janice. In addition, we got the table overlooking Singapore flyer👍",4
Great family stay,KOliver42,"Lovely rooms, comfortable beds, amazing breakfasts and great pool. We had two interconnecting rooms. The staff were very helpful. The only thing I would change is that all the restaurants were too expensive for us - it would have been nice to have a more affordable option available within the hotel.",5
Amazing 2 night stay,Kartik H,"Had short 2 night staycation to celebrate my birthday Check in was smooth requested for an earlier timing ,  and staff are at the counter are friendly & courteous  Breakfast choice was good but not sure if there are minor changes to the variety since I had only  2  mornings there  Staff at the Atrium were really amazing and ensured you were having good experience  In room dining was great - food portion and taste was so good.   Overall had great experience with no issues with Pan Pacific,",5
Average experience,Marc P,"The rooms promoted are the new style rooms, which have not yet been rolled out. You have to do the usual call to room service, due to lack of towels, pillows etc, even though you’ve booked for 4. Extra bed wasn’t there for the tired kids…. The usual average hotel experience that I was hoping to avoid",2
Hai Tien Lo Dim Sum Buffet,GBS,"I would like to specially comment on Paulyn, Hui Qi & Ryan for the great service & hospitality while I was dining in Hai Tien Lo with my husband. The spread was amazing! Every dishes was up to my expectations.  I would definitely come back here again.  Thank you Paulyn, Hui Qi & Ryan!",5
Excellent Service,Kenny Lee,"We are having good time at the restaurant and the food was nice and comfort.  Couple with prompt services provided by Paulyn, Ryan, Huiqi and the team, we are well taken care of. Thanks and will recommend friends back to this house",5
Memories of Keyaki,Cynthia,"Food is delicious and presented prettily.  We were mainly served by Jeff, who were very attentive and nice. As it is our first time here, he has recommended us the right choice and right portion. He has also made our visit here very comfortable and prepared a surprised cake as we came to celebrate birthday.",5
Birthday celebration,Dinna S,"Celebrated my birthday at Hai Tien Lo. Our family’s favourite restaurant . Ordered set menu. Delicious food. Received complimentary longevity buns. Staff Paulyn, Johan and Ryan provided very attentive service. Highly recommended .",5
Wonderful experience at Hai Tien Lo,Mir 4 Food,"If you're looking for a restaurant with attentive and friendly service, look no further than Hai Tien Lo. From the moment you step through the door, the staff will go out of their way to make you feel welcome. They'll help you select the perfect dish from the menu, and they're always happy to give suggestions if you're not sure what you're in the mood for. They even provide attentive service during your meal, refilling your drink or clearing your plates without even having to ask. And when it's time to leave, they'll thank you for coming and invite you to come back soon. It's no wonder why Hai Tien Lo is one of the most popular restaurants in town - their service is simply unbeatable. We took up 2 tables and will keep coming back!  Kudos to the service staff, Patrick, Tian Tian,…",5
Wonderful Birthday Dinner,Samuel Wong,Wonderful service and food by Mr. Tommy Yeo as well as Suresh for our special occasion today! Highlights of the meal included the beef tenderloin as well as the lobster. We were able to get the lobster infused with the miso soup as well!  Will be back for future occasions :),5
"Friday Dinner @ Keyaki, Pan Pacific Singapore",Ian,Had a casual dinner on friday with my partner. Friendly service & delicate nice meal of teppanyaki. Chef Tommy Yeo is a great host with 30years of teppanyaki fine dining experience. Recommended.  out.   Beautiful Japanese nice garden and vibes for a great private dining.,5
stay 8-13Aug,Sukanya S.,"Overall was Very good services ,nice  facility and in good location   , bed was very comfortable . staff was very nice and work with kindness. Food &drink here also perfect . accesseries in room was good quality .",5
Very Disappointed,Lisa_Birch,"Hubby & I have been to the Pan Pacific Marina Bay for 8 times now. We have always had a perfect holiday so get really excited to go back. Especially so this time as we waited for 4 years due to personal reasons & Covid.  Unfortunately our experience this time was terrible & we left very upset & honestly are thinking of not going back again, which is unheard of for us.  The stay didn't start well.... We arrived from the UK at 6 am which we have done many times before. The receptionist was unhelpful & basically gave us a ""don't give a toss"" attitude! We were told we couldn't check in for at least 8 HOURS!!! We asked if there was a room we could freshen up & change so we didn't have to sit in reception for this amount of time. We were told no as the hotel had an event the previous…",3
Teppanyaki at Keiyaki PanPacific Singapore,Felissa Lim,"Had an incredible dinner with chef Tommy Yeo. Not only was the food excellent, his interaction with the guests made the experience special. Service at the restaurant was also very good. Highly recommend!!",5
