Review title,Username,Review,Rating,date,traveller_type
Excellent Hotel,Rob G,"On our last night of a Week staying here and if you are looking for a 5 star Hotel this is the one for you. Close to so many sights and attractions, not to mention bars and restaurants.  Their new Nobu restaurant is simply sublime and is a must when visiting. Outstanding service throughout the Hotel and they made our first visit to Singapore a special one.  Special mention for Giovanni Speciale for his exceptional customer service. Book now ",5,,
Excellent And Quiet Corner Of Orchard Road Area,Richard,"Pros : Excellent service, very good food & beverages, quiet corner of the busy Orchard Road area, very clean & well maintained hotel, true to its reputation and comfortable bed. Cons : Hotel compound is small, some distance from Orchard MRT and limited shopping in the hotel premises.",4,,
Pleasant stay,Satiawanlukas,"Staying here for 4 nights. Hotel is located in prime orchard location. Walking distance to hotel, mall and MRT station. Staff are nice, room is spacious, the staff and service was AMAZING. Will be back here for sure.  Room:  9/10 Cleanliness: 9/10 Location: 9/10 Staff and service: 10/10  Keep up the good work and what a pleasant stay :)",5,,
Nice Stay,MeganJetgirl,"Lovely hotel with great staff who were always attentive and happy to help. Rooms were spacious, modern and extremely clean with all the amenities you would expect from this type of hotel. Breakfast was a buffet in the restaurant with a large variety of hot and continental foods and juice. Snacks and beverages in the bar were good and room service was efficient and generous. The location was good and close to the shopping belt of Orchard Road.",4,,
Best venue to host a meeting in Singapore ,AlanCGK,This is by far the best venue to hold a meeting or a conference in Singapore rn. Michelle was a great coordinator and planner before the event. And Fandi was the best onsite person ever. The whole team was attentive and proactive to not just the guests but also the event crew. Everything went smooth as butter. Will definitely do more events in this hotel again.   ,5,,
Amazing Service!,Pratik,Such a pleasant stay. We moved here from a hotel in Sentosa and there was a day/night difference in the efficiency of the staff.  Rooms are large and have been updated recently I believe. Love the toiletries! The location is great and my kids had an amazing time. We had 2 rooms and loved that our room keys worked in either room - such a cool feature.  All good things - the key is the quality of their staff who are available to help at every turn.,5,,
Great property for the area.,Jeff-JTK-Tan,"The room was well designed with decor and fixtures to match the level expected in a prestigious hotel as Four Seasons. Attentive staff, good security features on the property and excellent food in the restaurant. This property has upped the ante, at least in my book, when it comes to choosing a hotel.",5,,
best of the best,soniaw753,"from the luxury amenities, carpet, beddings, automatic curtain, all the 7 stars standard, the royal suite room is exceptional big and very nice for entertaining friends and family. the location awesome just step away from orchard road. everything is luxurious from top to bottom. concierge service is excellent. very quiet at night. ",5,,
Superb as usual,gbadit,"As usual one word for any four seasons property across the world “ superb “. That’s all is needed to define our stay, the food, housekeeping etc etc etc.  The staff the hospitality is at par with the best in the world. Special mention for Taufiq at the concierge he really helped me with one of the issues with another hotel.",5,,
Wow!  An exceptional hotel in the heart of Singapore!,SANsna,"I stayed at Four Seasons Hotel in Singapore twice as bookends for my trip to Maldives.  My first stay was for 3 days and the second stay was for 1 day.  The Four Seasons was like a home away from home during my stay!  While it can be said that good service should be expected from any Four Seasons properties, I believe the staff here is a notch above.  Every interaction with the staff was starts with a smile and is incredibly pleasant.  You can see that they make an effort to remember every customer.  The staff at the breakfast buffet especially the host was exceptional.  With two kids, they made every effort to accommodate the kids and made sure they had their favorite cereals available every morning.  The location of the hotel is perfect in my opinion particularly for my short…",5,,
Best hotel in Singapore,IncaWood,"We have stayed in quite a few hotels in Singapore but this is our favorite.  The rooms are spacious with comfortable beds and nice decor.  The lobby and lounge is elegant and soothing.  The location is perfect and there are great restaurants within walking distance.  But what makes this hotel stand apart is the staff, they are all gracious, helpful, cordial, helpful and the customer service is six stars.  We can’t thank the staff enough for the wonderful service.  For a Four Seasons in an expensive city the pricing is surprisingly  reasonable.   This is a five star hotel and not to be missed!",5,,
Wonderful stay at Four Seasons Singapore,sallytcf,"Truly enjoyed my stay here at FSS. I held my wedding here and I am very impressed by their service. They have wonderful facilities too. e.g. their gym is well-equipped, they have tennis courts, great swimming facilities and smart TVs in their spacious rooms. Widespread of delicious dishes too at their breakfast restaurant. Delicious in-room dining and super prompt service via their communication app. Strongly recommend everyone to stay here! ",5,,
Exceptional !!!,CHOPRAMO,"Four seasons Singapore is a truly exceptional hotel. Large rooms, exquisite washrooms, supremely comfortable beds, polite and prompt service and amazing attention to detail.  The breakfast is great if you are a non vegetarian and love cold cuts.  There is an ice machine on every floor which is super convenient.  The bathroom toiletries are L'occitane and the bathrooms are super comfortable and large.  The staff is very well trained and the customer service standards are really high.  It is a short walk from the famed Orchard road.   I cannot recommend this hotel enough.",5,,
"Fantastic, lovely, top notch! Best of the best as said by trip advisor and it’s true! Go to hotel in Singapore everytime",amu1817,"Brilliant stay coupled with great hospitable staff and wonderful service throughout. Great location, good ambience. Charles, nur, tuck, gladys and team were very kind to say the least! Will surely visit again. Shops and restaurants within walking distance",5,,
Charmed by the hospitality at Four Seasons Singapore,amitg1975,"We stayed three nights at Four Seasons Singapore with our twins aged 5, and we were completely charmed by the hospitality of this spectacular hotel.  The hotel is conveniently located on Orchard Boulevard and helped us easily access most places in Singapore.   There were so many little treats that we found there which gave us instant happiness.   To name a few: a welcome hamper, kiddo dental kit, kiddo slippers, kiddo bathrobes, stuffed toys on arrival, baby soap and shampoo. They loved it all.  The breakfast spread was excellent and on table service was great.   It was a pleasure staying at this hotel and we will definitely come again on our next trip! Thanks a lot, Four Seasons for making our Singapore stay special!",5,,
Best Decision,Phylippines,"This hotel has been wonderful. I literally just typed a whole paragraph of contentment and spent the last 20mins giving wonderful feedback to their survey questions. Service was just amazing. The rooms are elegant and widely spaced! Something you cannot get in newly built hotels these days. The attention to detail from check in to check out sets the bar so high. In my itinerary I planned to start breakfast by 8am and be on our way out the city by 9am but the sleep quality we had was just so good— we always end up sleeping in and getting up at 9am instead. Location wise, don’t get fooled in Google Maps that it’s away from the main Orchard Road, the hotel has an air conditioned connection to a mall and VOCO Hotel right smack Orchard Road. Trust my word for it, you won’t regret…",5,,
Wonderful stay,starfighter56,"My first time in Singapore in over 10 years. I decided to try the Four Seasons and it was a delightful stay from the very start. I was upgraded to a lovely room. Everything about this hotel is good, reception, the bar, doormen and the wonderful concierge team who re as lly helped me out when s slight crisis occured. The only negative remark was the breakfast service with highly stressed staff and not at the same standard as at the bar. All in all a terrific stay.",5,,
Perfect stay in singapore,quintanf319,From beginning to end the hotel catered to all my requests. I truly enjoyed my stay here. So many things to say that I put in already in my suggestions but I have to say attention to detail is amazing.  One amazing example is I went for a long run outside of the hotel. And as I was returning the hotel doorman gave me a cold drink. This level of attention is really amazing.   The best thing was the stuff. ,5,,
Four seasons is a cut above the rest. Perfect location and excellent service,ramby,"The rooms are superb. Every detail is magnificent. I love the layout. The bathroom itself is like a dream. Most of all, I love the service. The concierge team is very efficient and prompt and responsive. I will never stay anywhere else in Singapore. I stayed here for 10 days with my wife and 3 kids. Hats off tor Sherwan of concierge for handling all my reservations including the antigen tests for flying out of Singapore.",5,,
Pleasant stay,MixyMix,"The hotel is located near orchard road. You have to walk a bit until you find the main orchard area and it's not close to any MRT station. So I can't say it convinient. But if you travel by taxi it would be convinient and easy to get taxi.   The hotel is a bit dated but room got renovated and so comfy. Breakfast was a bit too average and not so many variety, i can say a bit disappointed.    Every staffs were polite , four seasons standard. Got a promo for 3 pay 2 and it was very worth. Nevery doubt to come back again.",5,,
Amazing experience and sure to come back for,apim,"If we stay at Singapore for travel from Oz to anywhere, we used to choose Marina Bays Sands usually. This was the first time we stayed here and we felt so good that we will definitely be back here. The hotel fits all standard necessary checklists for 5 star, however, the experience is made special by staff. I rarely had such a good experience with staff while having breakfast... Charlie was phenomenally good and friendly with our toddlers. Overall, a way more warm hospitality experience. Finally, on the last day, as we had late night flights, reception easily extended our stay without fuss for half day.",5,,
This is the worst Four Seasons Hotel we have ever stayed at.,bigballer62,"Stay clear of this one. This is a Super 8 dressed up as a Four Seasons. Staff was confused and rude and very inexperienced. Concierge had no local knowledge whatsoever, he/she sent us to closed restaurants, closed attractions, it was absolutely unacceptable. Hotel condition was run down, paint on the door hinges, towel rack wobbling on the wall, toilet seat crooked, dated furnishings, stains of our sofa, the list goes on and on. Waste of money. Only thing going for it is the location in Orchard. This hotel and how we were treated there has made us not want to return to Singapore.",1,,
Lacking the personal touch,vidhusagar,"It's a great hotel , lovely location and amenities. Room sizes, bath and sleep quality were perfect.  But somehow lacks the personal touch and bereft of the warmth that you would usually associate with a hotel of this class.  Was left to wonder until we asked about facilities, they had a great restaurant but got to know too late. Not being picky but just that one would expect a better level of service with a hotel this class. ",3,,
Unremarkable stay,SagarVS,"Check in time was 3 pm and they could not accomodate me even 15 minutes before that despite the fact that half the rooms were empty. Also when we checked in there was no introduction to services available at the Hotel. No one came with us to the room to brief us about the facilities either. There were a lot of smiles and gestures but there was no warmth is what i felt. There was no personal touch in the room either. No fruit, not even a simple cookie and thats surprising for a hotel of this standard.  With great reluctance they extended our check out by 90 minutes. The door men are courteous and efficient. There is nothing in this property that will take me back there again.",3,,
Exceptional Hotel - Perfect Stay!,Krydon,"What separates this hotel from the rest is the exceptional staff. From the moment we arrived to the moment we left, my wife & I felt special every step of the way. Facilities are super clean & have of touch of class about them. Location of property on Orchard Boulevard is near perfect as it’s situated near Ion Shopping Complex & MRT. We will definitely be returning to stay at Four Seasons Singapore when next visiting! ",5,,
Room,Jaga,Really so good nice my family also happy really I'm coming to next week 1 more time I really feel happy to saty Thayer thanks so much really amazing feel so happy I don't want leaving other place I really love,5,,
Feb 2022 Valentines Day + Pawcation,Naresh Kumar,"Stayed from 12th feb - 14th feb with my partner and his dog. Superb suite. Lovely pet amenities and great service from hotel staffs The view wasn't that great as it was facing the construction site but the room was big enough for our furkid to run and move about, which made us to forget the view Nice breakfast - we had it at outdoor area. Maybe a suggestion - possible for to make netted fences to prevent birds coming to the outdoor dining area. I realised our dogs and few other dog owners felt abit uncomfy for the birds keep coming in which disturb our breakfast time.  Otherwise, a very nice hotel ",4,,
Heaven,Fathur,"The most best hotel's in singapore,excellent service and i recommend the couples to come here! Very comfortable and the spa is so relaxing ,i love the view from the swimming pool and the buffet are super good",5,,
"Standout service with a luxurious, quiet, ambience.",mostlyharmless,"Four Seasons hotel ranks high in the listings, and it isn't immediately apparent why. From the outside and in certain areas (e.g. the pool areas), the hotel is a little dated. However, all areas are immaculately maintained, while some public areas are currently under renovation and likely to be refreshed. Throughout the public areas, flower arrangements and the decor gives a garden-like atmosphere, somewhat akin to the Botanic Gardens. The bedrooms (recently renovated) are refreshingly comfortable and luxurious, without being ostentatious. Rooms are generally quiet (occasionally noise from neighbouring rooms), beds are comfortable, and capsule coffee provided. Views from the room are generally nothing to write home about, sadly. The standout has to be the service - turndown…",5,,
Wonderful!,TibbyMum,Beautiful hotel with a lovely relaxed feel. Delicious food and a pretty outdoor terrace to eat or have a drink on. Staff were wonderful with nothing being too much trouble. Special mention to Karen and the rest of the pool team who made our days at the poolside very relaxing and comfortable. Housekeeping were excellent and the room was always spotless. We will definitely return.,5,,
Definitely one of the best luxury hotels in Singapore!,s.s,"I never thought I’d try a Four Seasons.. In Singapore, specifically! The room was every bit elegant and modern as you’d expect from the brand.  The king sized bed was heavenly, the most comfortable that I have ever encountered – extremely fluffy!   Bathroom amenities are from L’occitane, which is always a plus point! The bathtub also came pre filled with some rose petals. Turn down service in the evening was very kind. Came back from dinner and was surprised with a little cake :)",5,,
So classy,PatrickTerenceLim,"This is such a classy hotel.  Besides the beautiful ambiance, the service received at the entrance elevated the morning.  Felt it from the doorman who walked me to the lift to the service staff that served me the coffee.  I was treated like a prince.",5,,
Simply awesome!,Jerico,"Celebrating our 20th wedding anniversray here at Four Seasons Orchard Singapore and I cant wait to write my commendation. So here is a quick one. The service is beyond awesome. Ellie, Karen, Sanjay, and Fal, are all friendly and super accomodating. The hotel remembers our big day and quite sincere in making our celebration a memorable one. Room is great. Food is worth it.",5,,
Four words: I will be back!,Josbel,"Thank you Gladys, Jane, Raymond, Mun Yee and Shou Wei for making our experience so memorable. Tip top service with a smile and we will definitely be back. We were given personalised and efficient check in and we were sad to check out. Breakfast was delicious and was promptly seated and taken care of despite the queue and crowd. Always nice to be greeted by name and recognised when we were on a celebratory staycation. Very professional service by the banquet team. We appreciated the extra mile gone for us as well as flexibility and patience extended to us.",5,,
"Service, service, service. And the bed",Ric C,"I could tell you many things to love about the Four Seasons. I could share that the rooms are huge and sumptuous, with the smallest rooms already coming in at almost 50 sqm. I could talk about the high quality breakfast that greeted us each morning at One-Ninety. I could also touch on the wonderful location, right in Orchard (with a two minute walk to Wheelock Place) but yet blissfully cocooned from all the hustle and bustle.     Instead, I am just going to focus on the two things that set this hotel apart from the pack. All five-star hotels pride themselves on service. But the Four Seasons has not only taken it to another level, they have pretty much perfected it I feel. It is not just the warm smiles that greet you throughout the hotel. You actually see the staff going lengths…",5,,
Impressive,ssinaya,"One of the best rooms we had stayed in. Was large and comfortable. Can't with coffee machine and a wireless Bose speaker which we used often in the morn and evening wind downs. Special mention of their bath room, which was large and impressive.   Housekeeping, room service, reception were all prompt and good in their service. Really enjoyed our stay and look forward to visiting again. ",5,,
Great hotel to explorer Singapore,narikhimani,Excellent service and good location. Clean and efficient - everything you need for a business trip (and holiday). Located near the MRT and close to shopping destination. Great roof top pool and chill out area. ,5,,
Travel during VTL,cyam12,"I travelled to Singapore from Melbourne via the VTL, with my daughter. The 4 Season hotel made this a wonderful experience. They provided inexpensive ART (RAT) tests for us and made booking anything easy with their app via the chat link. Both the pools were lovely and we were given extra time to use these facilities. Room service was great as was the bar for cocktails and satays. ION shopping mall is a short stroll and has a fantastic food court on B4 level. Check in and out were uncomplicated and all the staff were efficient and friendly. I would highly recommend this hotel for all VTL travellers.",5,,
Different experience on every stay,Tiffany D,I stay several hotel but didn't experience confusing upon check out day. Need check thru apps n call front desk to ensure didn't over the timing. Poor experience on second times although hotel is really comfortable to stay. When enjoy breakfast is nobody to let you know what to do n which selection you may consider. Maybe first stay experience on Four season is too wonderful so I expectation high. Although second trip need worth $600+ but is not worthy when I choose between Four Season n Mandarin Oriental Hotel choice.,3,,
Amazing food and Cocktails!!!!,Anjana B,"We visited the Chinese restaurant in Four Seasons Singapore twice.   As a family we had dinner on 31st December 2021 . Loved the delicious food and amazing cocktails. The staff were so accommodating, friendly and polite catering to all our wishes. We enjoyed the dinner so much that decided to go for lunch on 16th January 2022 again. It was our daughters birthday so we had a celebratory lunch! As usual the staff made us so welcome and fussed around our daughter. Would recommend this restaurant to everyone!",5,,
Pleasant Surprise - Top Notch Service,BTSE,Celebrated wedding anniversary with plenty of positives from the hotel. This is the first time at this hotel chain and indeed the service is top notch. Decoration and setup of the room was impressive even with less than 48 hours notification. Response from hotel was swift and quick.  Room service (food) at 1am was also impressive.   Highly recommended for anyone who wants to impressed their partner.,5,,
Service is exceptional as usual,Salim N,"Hotel is near the shops of Orchard Road.  Ad you'd expect hotel has great spacious and clean rooms, the gym facilities are lovely  (as is pool area).  The differentiator with other five stars - is the service - the service at other places is great  -but the four seasons does it just slightly better - they anticipate what you want before you ask  - they follow up ideal queries - they notice that you have a gluten intolerance (wife) and make sure that gluten free alternative are on hand.",5,,
Best stay in Singapore,angExplorer,"After 32 unique hotel stays in Singapore, I am glad to have chosen Four Seasons as my last stay for 2021 with 2 nights over the Christmas weekend. I would probably rank this as my best stay in Singapore.   Despite being the busiest weekend of the year, the service was flawless from front desk, telephone operator, mobile chat, F&B to housekeeping. The service in One Ninety was perfect from breakfast service to dinner service. I accidentally left my jacket at One Ninety after check out and this was kept with security for me to pick up a few days later.  Mobile app and mobile chat was flawlessly integrated and ensured a seamless stay. There was unfortunately no names on the mobile chat for consistency, but I would really like to send my compliments to them.  Lastly, I like to…",5,,
Best service staffs ever especially from the morning buffet restaurant,jc20112022,"I would like to express the gesture of the hotel room service for making me and my partner , Andrew with a blessed and personalised birthday balloon and mirror scripting We were surprise as well while we dine at the morning buffet restaurant, you guys even gave us a waffle decorated with candle which makes us surprise Server Sanjav was superb and attentive to our needs especially our coffee ",5,,
"Second time, remains pretty faultless",LucyHSG,"We stayed for  special occasion, 2 adults and 1 6 year old. They arranged for a high floor, extra bed and extra kids toiletries without prompting, and every staff member we met was delightful and did their best to provide a personal experience. Remains a hotel worth the extra spend.",5,,
Good experience with the staffs and mobile app,oskarpeh,"I We had enjoyed our stay in Four Seasons Singapore. Firstly, thanks for the complimentary cake after knowing my birthday. Secondly thanks for specially arranged an extra bed for my daughter. We didn’t really expect and had prepared to sleep together on the king size bed. Thirdly, thanks for taking the extra to get my daughter an extra set of toiletries that include a kid toothbrush and toothpaste. This was something special that we didn’t expected and were grateful that you had prepared all these after I had messaged in the app messenger about my birthday and my daughter. The replies from the app messenger was amazingly instantaneous and personal. I am able to book swimming at the same hour as the staff manning the messenger was able to find out the capacity and advise us on…",5,,
Staycaytion,Ken T,"The hotel offers excellent view of Orchard Road as we selected the Boulevard City View Room. Amenities provided by the hotels in the room were top notch, the king size bed was comfortable, the rain showers in the room were refreshing.  Breakfast served was delicious, The facilities offered by the hotel were awesome such as Gym, Rooftop pool, Lap pool and Jacuzzi.  It is one of the best hotel I ever stayed at. ",5,,
Premier King Bed Room,Mira_Ady,"The best 5 star hotel so far! Excellent service, spacious room & toilet. Thank you Chris Chen from reservation department for the complimentary upgrade room after knowing my situation. Everything is tiptop! Keep it up Four Seasons Hotel. We are planning to return again next month!",5,,
Outstanding stay as VTL travelers,jrs,"My family of 4 spent 9 nights at the Four Seasons over the holiday break, as VTL travelers from the United States. It was a truly great stay. As others have noted in their reviews, the service at the hotel is absolutely exceptional. Every single person we interacted with was warm, helpful, and kind. We had interesting conversations with so many of the folks at the hotel, who shared recommendations about places to see and eat. The concierge and front desk staff were incredibly responsive - we loved being able to ask questions via the app. We particularly appreciated the fact that despite our 7 AM arrival at the hotel to quarantine after our flight (while awaiting our PCR results), we were not charged for an additional day. The rooms are luxurious and very very comfortable -…",5,,
Staycation,The happytraveller,"Good experience staying there as they fulfilled my expectations. Food was splendid and staff were polite, friendly and ever ready to render assistance. One of the few hotels in Singapore that is pet friendly and this was a added benefit for me. Will definitely stay again.  ",5,,
My Stay in Four Seasons Hotel,Go18159316893,"This is not my first stay in Four Seasons Hotel for my family of 5, in fact it’s my 4th or 5th stayed. The reason was due to its pets friendly. The hotel stay makes us feel so comfortable just like staying at home. Their room is huge, clean and the staffs is very friendly and helpful. I will definitely chose Four Seasons Hotel again for my next stay.😀",5,,
Our Favorite Hotel!,scartay08,"This is the best room I stayed in in all the hotels I’ve been to. The room and bathroom were huge! The bed, pillows were very comfortable and It made me wanna stay in the room the whole time. I love the bathroom it felt very luxurious. We were also given extra beds even though I didn’t request for it but its appreciated because I have kids.   The breakfast was great. There’s not much option but as I mentioned in my other review, this seems to be the norm in all hotels during pandemic. Even so, I love the food especially the breads and coffee. Service is also superb! One disappointment is the in room dining. There’s not much options so we ordered local food. The taste is average, not really a 5 star taste.   They have 2 pools and our favorite was the one on 3rd floor which is…",5,,
Great experience!,Nomad78796,Great experience! Love the Four Seasons App with the Chat function. They really make the effort to respond asap. Little ones are well taken care of. Much attention to details. Appreciate. Love the One-Ninety restaurant too. Also discovered the linkway from Four Seasons to Hilton. Will always appreciate the service from Four Seasons. Thanks!,5,,
Great Xmas stay!,trvkaki,"Four Seasons, from the point you stepped into the hotel till the point of check out, is top notch.  The checking in and out at the front desk is fast and efficient while the housekeeping team is polite.  The room appeared to be renovated and kept up to pace with technology such as having usb points. It is also easy to book the pool through the messenger app where everything is made so convenient.  If I was to nitpick, these are the areas that Four Seasons could probably work on. - My kiddo found a m&m lodged within the sofa but I don’t think it is any fault of the housekeeping unit since it is not easily spotted. - The drainage inlet of the shower cubicle could have been bigger or it could have been struck. Over the two nites we were there, we were essentially showering with our…",5,,
Christmas Staycation ,Jason,Definitely a great place to have a Christmas Staycation especially with the vintage decor and Christmas Tree that put you straight into the holiday season mood and let's you feel like you are in overseas  Great service and warm hospitality. Pay great attention to details which set apart from other 5 Star hotel  Definitely looking forward to have my next Christmas Staycation ️  However there was some unexpected incident happened during our stay but was solved amicably by the Housekeeping Team.   Hope to see improvement on their staff ,4,,
Well maintained hotel and great location!,kerri,"Well maintained hotel!   I have never consider staying at four seasons considering the number of years it has been around. But COVID and Christmas gave us a chance since we had tried most of the hotel around the vicinity.   Upon walking in, hotel smell nice and was well maintained throughout. I had very low expectations of the room but it surpasses me! I asked for an extra bed for our toddler and they also placed kids amenities around. Very nice touch!   Overall, we are very pleased and will consider staying again for the price and location! Well done for keeping such a old building so well kept!",5,,
what an amazing stay yet again,Carmen L,"There is no comparison. The service that you get at Four Seasons always makes you feel cared for and that your interests come first. ""Welcome back again."" And indeed that's how I was made to feel throughout my stay. They always accommodate your requests and there's a latent trust always in their guests - no need to show the email as proof that you did a pool booking, no need to inform of your room number when asking for a carpark coupon. It just made my stay so much more pleasant and easy. All their staff are exceptional! The room came ready with extra bed, the toilet and bathtub  (huge by any standard) all spotlessly clean! No stray hairs on the floor or marks on the linen or stains in the toilet. A request for late checkout is granted even when they have to turnaround the room…",5,,
Very satisfied with ther service & the condition of our room. Ambience is also nice.,Zaki,Had a short staycay with the family. Friendly staffs. Very fast & efficient in responding to our queries & needs. The hotel is also super clean. 5-10mins walking distance to the city centre. Our check-in time was delayed & the concierge is kind enough to keep us updated on the cause of the delay. 👍👍,5,,
An Amazing Stay,Amanda K,"We had our stay booked for a bridesmaid night!!! Room was amazing! Staff was so welcoming right at the door, greeted by an Malay uncle(did not manage to get his name)  and warm welcome by Azmi from the reception! He went the extra mile for arranging our takeaway breakfast as we have an early morning the next day! Hand written note were also place in the room. I’m sure we will be back again!",5,,
Couples staycation,owenyong007,Nice and provide care ☺️ at hotel when I fall down in toilet room. Professional services. Fast and efficient too. They call grab car to sent to nearest emergency hospital. When I back with few stitches. Both night and day manager ask you ok and how your feelings too. Me feel touch about it.,4,,
Classic luxury with 5-star service,bweebschan,"It's been a long while since I posted a review, but my recent stay at Four Seasons Hotel Singapore deserves a mention.   I was initially apprehensive that the hotel would be old and dated, though I already heard good things about the service. Glad to share that while the hotel isn't new, modern or flashy, it has retained its classic and luxurious appeal, with the common areas always  quiet and peaceful despite running at full capacity. The hotel rooms have been recently refurbished and are lovely. Modern but well styled but Peranakan touches, the deluxe room and the bathroom were spacious, comfortable and spotless. Probably the highest hotel bed I've seen , and also one of the more comfortable. I requested for firmer pillows and they were delivered to the room promptly.   Which…",5,,
Awesome service and location,jploof,Excellent service and location.  I have stayed at the hotel several times and have been delighted in each instance with the great atmosphere and quality of service.  The staff is warm and gracious with a genuine and sincere desire to assist,5,,
Staycay in SG,SeahKC,"Hotel is situated just on the fringe of the orchard shopping belt. Lobby is very elegant and grand, service by the front desk was fast and professional. Managed to check in within 15mins and was given a room on the 13th floor.  Room was of good size, reminds me of a slightly smaller version of the valley wing.  Bed and pillow was very soft and so for table. If soft wasn’t your cup of tea, can choose another from the pillow menu.  Bathroom is big with separate standing shower and bath tub. Amenities  were well stocked and of good quality.   Swimming pools were situated on the 20th and 3rd floor.. families with children are recommended to go to the 20th floor but the pool on the lower floor is much bigger and has more shade from the sun. Pool staff was superb in making us feel…",4,,
Great stay for my elderly parents and dog!,bhavani3001,"We had a great staycation at Four Seasons Hotel, Singapore. I brought my elderly parents, one of whom is on a wheelchair, and our dog. Everyone had a memorable time. The service of the staff was commendable, and we had so many special requests! The food for our dog was also all well prepared according to our instructions. They had an app where we could easily chat to ask about anything or make reservations - this is such a great idea! Everything was impeccable and the rooms were very clean and comfortable. Thank you, Four Seasons staff, for giving all of us an enjoyable and unforgettable stay!",5,,
"Amazing stay, wonderful service",Mangomanski,"One of my best stays in Singapore ever. Everything was top notch.  Room was fabulous, spacious and tidy. Bed was amazing and comfortable. Toiletries are fantastic, L'Occitane.   Room service is great and delicious. Breakfast in room was included in the rate and was served amazing.  Restaurants downstairs were great and service was top notch.  Just an overall amazing experience. Will return.",5,,
Four seasons SG hotel,Bundha9,"What a great experience we had staying at FS Singapore recently. We booked for 3 nights to break up our trip then went onto marina bay sands.  We were welcomed Warmly to a Very early check in, as had to wait for our PCR test results they gave us a lovely room at 10am!!!  We slept comfortably on the most amazing soft beds the only down side to our stay was the spa was closed due to Covid restrictions a special mention to TAUFIK the concierge who was just very very helpful during our stay nothing was too much trouble and went out of his way to make our stay enjoyable will definitely stay here again when we return to SG",5,,
