reviews,score,hotel,date,country,room,title,travellerType
"perfect location, amazing staff, beautiful views.",5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Harbor View Room,amazing hotel in an amazing place,Couple
Bed and pillows were a bit too firm,5.0,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin,Exceptional,Group
The infinity pool is amazing.,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe Twin City View Room,Exceptional,Family
Everything was perfect.,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe Twin City View Room,Exceptional,Family
Wonderful experience.,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King,Lovely hotel.,Couple
Everything was good.,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King,Lovely hotel.,Couple
Everything.,4.5,Marina Bay Sands Hotel,2022,Australia,Deluxe King Sky View,Almost perfect. would visit just to stay there.,Couple
"The app didn't work for us. We couldn't get any amenities from the app. Dial 0 wasn't working, too.",4.5,Marina Bay Sands Hotel,2022,Australia,Deluxe King Sky View,Almost perfect. would visit just to stay there.,Couple
everything,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Harbor View Room,Eye opening,Couple
The room was great and the infinity pool was exceptional especially the view from Level 57. The location is superb.,5.0,Marina Bay Sands Hotel,2022,Germany,Deluxe Twin Garden View Room,Overall the hotel was great but the price is on the high side.,Family
Incredible modern structure with spacious rooms and friendly and helpful staff.,5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe Twin,A luxury stay,Couple
good place to enjoy and clean,4.5,Marina Bay Sands Hotel,2022,Vietnam,Deluxe King Garden View Room,i enjoy in your hotel even short time,Family
We had a wonderful stay and will definitely be back,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe Twin,Exceptional,Family
the view and location,4.5,Marina Bay Sands Hotel,2022,Norway,Deluxe King Harbor View Room,fantastic hotel especially the rooftop/harbour view,Couple
"Clean, very accommodating and they really take care of their clients.",5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Harbor View Room,Amazing and the hotel didn't disappoint!,Family
Once in a lifetime experience for the pool and the views.,5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe King,Exceptional,Family
Wonderful facilities and such friendly staff.,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Garden View Room,We had the most wonderful stay!,Couple
Great place to have fun,4.5,Marina Bay Sands Hotel,2022,Brazil,Deluxe King Garden View Room,Great experience,Family
Everything was going well,4.5,Marina Bay Sands Hotel,2022,Brazil,Deluxe King Garden View Room,Great experience,Family
The location is very nice. Our rooms have nice views,4.5,Marina Bay Sands Hotel,2022,Philippines,Deluxe Twin Garden View Room,I was expecting bigger room and bed knowing how expensive this hotel is.,Family
"Swimming pool, view.",5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe King Sky View,Astonishing,Family
The food in LAVO Italian restaurant.,5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe King Sky View,Astonishing,Family
"size, location and value",5.0,Marina Bay Sands Hotel,2022,Australia,Deluxe King Garden View Room,amazing location and food,Couple
Pool,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe Twin,Exceptional,Solo traveler
"Check in , demorado",5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe Twin,Exceptional,Solo traveler
"They gave us a free room up grade!
Great city view!",4.8,Marina Bay Sands Hotel,2020,Brazil,Deluxe King City View Room,Exceptional,Couple
The most amazing hotel i have ever stayed in.,5.0,Marina Bay Sands Hotel,2020,Saudi Arabia,Deluxe King,Exceptional,Couple
Paying extra charges to get a room with city view.,5.0,Marina Bay Sands Hotel,2020,Saudi Arabia,Deluxe King,Exceptional,Couple
Has the best view of the skyline and more!  Staff was so friendly and helpful.,4.8,Marina Bay Sands Hotel,2020,United States of America,Premier King Garden View Room,"Booked 2 premier rooms, but the hotel gave us a suite! We only stayed one night but the views in very direction and loca",Family
"The hotel was amazing, the room was beautiful. The staff were really really great. A lady called Hill who checked us in was very helpful! The view is wonderful.",5.0,Marina Bay Sands Hotel,2020,United Kingdom,Deluxe King,Amazing,Couple
The pool was just great,4.5,Marina Bay Sands Hotel,2020,South Korea,Deluxe Twin City View Room,Wonderful,Couple
too crowd,4.5,Marina Bay Sands Hotel,2020,South Korea,Deluxe Twin City View Room,Wonderful,Couple
"As the iconic hotel in Singapore, definitely worth the try. the staff are all very friendly and helpful, very nice view in the room even in the lower floor. 
Also at the day we checked in was my BF's birthday, the hotel prepared a chocolate muse cake which is very lovely and delicious.",4.5,Marina Bay Sands Hotel,2020,New Zealand,Deluxe King,Would love to book this hotel again at our next visit to Singapore,Couple
Every thing,4.8,Marina Bay Sands Hotel,2020,Kuwait,Deluxe King City View Room,Kuwait,Group
Everything is great. The view towards the city is amazing at night.,5.0,Marina Bay Sands Hotel,2020,United Kingdom,Premier King City View Room,Great experience.,Couple
"The food and service was excellent, room very spacious and clean.",4.5,Marina Bay Sands Hotel,2020,United Kingdom,The Grand Club King Garden View Room,Very enjoyable,Couple
The cost of the nightclub for guests staying at the hotel,4.5,Marina Bay Sands Hotel,2020,United Kingdom,The Grand Club King Garden View Room,Very enjoyable,Couple
The views from the bedroom window. The bathroom.,4.0,Marina Bay Sands Hotel,2020,Ireland,Deluxe King City View Room,Very Good,Couple
Easy check-in/out. The staff are friendly and lovely. The location is great.,4.5,Marina Bay Sands Hotel,2020,Australia,Deluxe King Garden View Room (3 People),My family and I enjoyed our stay in this hotel. We will definitely coming back.,Family
I wish the pool was heated. It was absolutely freezing at night.,4.5,Marina Bay Sands Hotel,2020,United States of America,Deluxe Twin,Wonderful,Group
Super amazing infinity pool. Great service of food while sitting on the bench there. Bridge to the gardens by the bay makes life much easier.,4.0,Marina Bay Sands Hotel,2020,United States of America,Premier King,Very Good,Family
"Great hotel, good organization of all facilities and services. Breakfast is very good, we were in Spago every morning.",5.0,Marina Bay Sands Hotel,2020,Switzerland,The Club Room King City View,Exceptional,Couple
Location,5.0,Marina Bay Sands Hotel,2020,United States of America,Premier King Garden View Room,Stay was good,Family
Excellent hotel with good location,5.0,Marina Bay Sands Hotel,2020,Saudi Arabia,The Grand Club King Garden View Room,Exceptional,Couple
All was good,5.0,Marina Bay Sands Hotel,2020,Saudi Arabia,The Grand Club King Garden View Room,Exceptional,Couple
Everything,5.0,Marina Bay Sands Hotel,2020,Australia,Deluxe King City View Room,Exceptional,Couple
The room was amazing and the service,5.0,Marina Bay Sands Hotel,2020,New Zealand,Deluxe King City View Room,Amazing experience!!,Family
The infinity pool,4.6,Marina Bay Sands Hotel,2020,United Arab Emirates,Premier Twin Garden View Room (3 People),Short but sweet Amazing stay,Family
Costly,4.6,Marina Bay Sands Hotel,2020,United Arab Emirates,Premier Twin Garden View Room (3 People),Short but sweet Amazing stay,Family
The location is great. The rooftop bar has a fantastic view.,4.5,Marina Bay Sands Hotel,2020,Germany,Premier King City View Room,Wonderful,Family
Pool,4.8,Marina Bay Sands Hotel,2020,South Africa,Deluxe Twin,Exceptional,Family
"Amazing views of the gardens from our room. Air conditioning was great and kept us cool after a warm day outside. So much to do. The staff are amazing. Our son left his phone in a taxi on our last day. The hotel staff were incredibly helpful, going the extra m,ile even though we didn't lose it at the hotel.
Best of we recovered the phone thanks to a fantastic taxi driver and the staff at the Marina Bay Sands",4.0,Marina Bay Sands Hotel,2019,New Zealand,Deluxe Twin Garden View Room,Fantastic hotel in ther best location,Family
It was amazing !,5.0,Marina Bay Sands Hotel,2019,Morocco,Deluxe King,Exceptional,Group
"Good view from the 7th floor, clean, orderly, good ambience",4.5,Marina Bay Sands Hotel,2019,Australia,Deluxe King,"Excellent pleasant stay. Excellent pool, love the pool",Solo traveler
Good international variety,4.5,Marina Bay Sands Hotel,2019,India,Premier King Harbor View Room,A lovely comfortable stay,Group
"The room, view and the facilities",4.8,Marina Bay Sands Hotel,2019,United States of America,Family 1 Bedroom,Exceptional,Family
CUSTOMER SERVICE AND INFINITY POOL,5.0,Marina Bay Sands Hotel,2019,Australia,Deluxe King Garden View Room,VERY RELAXING AND ACCOMODATING.,Couple
STANDARD CHECK IN WAS 3PM BUT THEY WERE ABLE TO LET US IN MUCH EARLIER THAN THAT WHICH WAS GOOD.,5.0,Marina Bay Sands Hotel,2019,Australia,Deluxe King Garden View Room,VERY RELAXING AND ACCOMODATING.,Couple
Everything was OK to me.,5.0,Marina Bay Sands Hotel,2019,Philippines,Deluxe King Garden View Room,MBS is a CITY by herself.,Couple
"I loved everything about Marina Bay Sands. The price definitely justifies the service, room quality, views & infinity pool.",5.0,Marina Bay Sands Hotel,2019,Australia,Deluxe King City View Room (3 People),Amazing!,Couple
The family room was spacious.,5.0,Marina Bay Sands Hotel,2019,United States of America,Family 1 Bedroom,Exceptional,Family
"Amazing building, great view even from lower floors, relatively good location, easy to access from the metro, the staff is exceptionally helpful.",4.8,Marina Bay Sands Hotel,2019,Ireland,Deluxe Twin Garden View Room,Exceptional,Solo traveler
"early check in was very helpful.
thanks to it I could enjoyed the infinity pool a lot.
thanks very much.",5.0,Marina Bay Sands Hotel,2019,Japan,Deluxe King,Exceptional,Solo traveler
"An unforgettable experience! We were accommodated on the 36th floor with stunning views. The pool is a magical place! It is definitely worth paying for a Club55 room , all with excellent quality and organization!
Thanks the hotel manager for the sweet surprise for our Anniversary!",5.0,Marina Bay Sands Hotel,2019,Bulgaria,The Club Room King City View,An unforgettable experience!,Group
"The infinity pool and the view are magnificent. Nice clean, well appointed room. We loved the curtains that open as you enter the room.",4.8,Marina Bay Sands Hotel,2019,Australia,Deluxe Twin City View Room,Great pool and view,Group
"The bed was very comfortable
Infinity pool was nice",4.0,Marina Bay Sands Hotel,2019,Australia,Special Offer - Deluxe King City View Room,Very expensive  Overpriced,Solo traveler
I need to be a millionaire to stay there regularly,4.0,Marina Bay Sands Hotel,2019,Australia,Special Offer - Deluxe King City View Room,Very expensive  Overpriced,Solo traveler
"I can't get over the views on the 48th floor and the floor to ceiling windows accentuate them for a truly amazing experience.
I also recommend the Buffet on the ground floor for a great lunch.",4.0,Marina Bay Sands Hotel,2019,New Zealand,Deluxe King Sky View,Very Good,Solo traveler
"I loved every second of it, I wish I stayed longer.",5.0,Marina Bay Sands Hotel,2019,Australia,Deluxe Twin City View Room,Exceptional,Group
Everything,5.0,Marina Bay Sands Hotel,2019,United States of America,Deluxe King,Fabulous,Couple
Best hotel i ever stayed in! We had a suite on 51st floor with pool table and fantastic view on Gardens on the bay! Breakfast both on the top floor and also in the lobby was fantastic as well!,5.0,Marina Bay Sands Hotel,2019,Croatia,Premier Twin,Exceptional,Couple
"The staff was amazing, very helpful and they did everything in their power to give us the best experience at the hotel's facilities. The food was great and the view from the infinity pool and sky deck were breath taking.",4.8,Marina Bay Sands Hotel,2019,Mexico,Deluxe Twin City View Room (3 People),Exceptional,Group
Bigger beds to have 3 guests comfortable. It was a bit hard with the bed sizes to have 2 adults sharing.,4.8,Marina Bay Sands Hotel,2019,Mexico,Deluxe Twin City View Room (3 People),Exceptional,Group
You will get an amazing view from the room especially if you get the top floors looking down to the bay and the skyline. The bed is very comfortable and the room is sound proofed.,4.6,Marina Bay Sands Hotel,2019,Romania,Premier King Sky View,Amazing view!,Couple
Everything,5.0,Marina Bay Sands Hotel,2019,South Korea,The Club Room King City View,Exceptional,Group
"Location, view, extraordinarity",4.4,Marina Bay Sands Hotel,2019,Slovakia,Deluxe Twin City View Room,Excellent,Family
Sometimes crowdy elevators,4.4,Marina Bay Sands Hotel,2019,Slovakia,Deluxe Twin City View Room,Excellent,Family
Everything,5.0,Marina Bay Sands Hotel,2019,Philippines,Premier Twin Garden View Room (3 People),Exceptional,Family
"The staff were amazing. 
Great location
The rooms were bigger than what I was expecting.",5.0,Marina Bay Sands Hotel,2019,United States of America,Premier King,Exceptional,Couple
I loved everything about the property :).,5.0,Marina Bay Sands Hotel,2019,United States of America,Premier King,Exceptional,Couple
"After entering the room, the curtain opened automatically and the spectacle appeared through the window, was really a whooh feeling.",5.0,Marina Bay Sands Hotel,2019,Hungary,Deluxe Twin Garden View Room,Exceptional,Family
Everything is very good,5.0,Marina Bay Sands Hotel,2019,United States of America,Deluxe King Garden View Room,Exceptional,Family
"Good food in the restaurants. Beautiful, clean and comfortable rooms. Excellent location that is central to all tourist attractions. Great transportation system with taxi, bus and train at the doorstep.",5.0,Marina Bay Sands Hotel,2019,South Africa,Premier King Harbor View Room,Exceptional stay,Couple
Everything works extremely well.,5.0,Marina Bay Sands Hotel,2019,South Africa,Premier King Harbor View Room,Exceptional stay,Couple
Beautiful building and roof pool,5.0,Marina Bay Sands Hotel,2019,Canada,Premier Twin City View Room,Exceptional,Couple
Pool was excellent,4.5,Marina Bay Sands Hotel,2019,Malaysia,Premier King Harbor View Room,Excellent stay,Couple
Everything. The infinity pool!,5.0,Marina Bay Sands Hotel,2019,Uganda,Premier King Garden View Room,Exceptional,Couple
Extravagance to a great level,4.8,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe Twin,Exceptional,Family
"We loved everything, probably the best hotel in the world !",5.0,Marina Bay Sands Hotel,2019,United Kingdom,The Club Room King City View,Probably the best hotel in the whole world !,Couple
We had to leave !,5.0,Marina Bay Sands Hotel,2019,United Kingdom,The Club Room King City View,Probably the best hotel in the whole world !,Couple
"The hotel was beautiful, very clean and we reviewed a free upgrade which was fantastic.",4.8,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Garden View Room,Exceptional,Couple
"The queue for check in took around 15 minutes, it could have been a little better but other than that the overall stay was excellent.",4.8,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe King Garden View Room,Exceptional,Couple
"My family & I was very comfortable with your FO ANTONIO VALE because he is very accommodating and friendly. We have a very meaningful, memorable and enjoyable experience during our stay with your hotel. We were also amazed with our room especially with a nice view and clean room. 
XI MEI is a very friendly and a smiling staff.  
JIN FU was very helpful and caring assisting our check in and check out baggages.
If ever we go back to singapore (If GOD's will) we will go back in your Hotel.
Thanks",5.0,Marina Bay Sands Hotel,2019,Philippines,Deluxe King Garden View Room,Exceptional,Family
The view was so crazy.,5.0,Marina Bay Sands Hotel,2019,Ghana,Deluxe King City View Room,Exceptional,Solo traveler
"It was amazing, such a beautiful hotel. The infinity pool was awesome all the staff were lovely. 
Highly recommended",4.8,Marina Bay Sands Hotel,2019,Australia,Deluxe Twin Garden View Room,Exceptional,Couple
Everything about it,4.8,Marina Bay Sands Hotel,2019,Australia,Deluxe Twin Garden View Room,Exceptional,Couple
"Good staff, the pool is amazing, spacious room.",4.6,Marina Bay Sands Hotel,2019,Brazil,Premier King,Wonderful,Couple
Brekfast should be included  with that price .,4.6,Marina Bay Sands Hotel,2019,Brazil,Premier King,Wonderful,Couple
"Clean, location, iconic building",4.15,Marina Bay Sands Hotel,2019,Australia,Premier King City View Room,Very Good,Couple
"Swipe access for everything, over priced.",4.15,Marina Bay Sands Hotel,2019,Australia,Premier King City View Room,Very Good,Couple
foor court is ok,4.5,Marina Bay Sands Hotel,2019,Singapore,Special Offer - Deluxe King Harbor View Room,very good,Couple
Views of the Garden bay were fabulous,4.4,Marina Bay Sands Hotel,2019,United Kingdom,The Grand Club King Garden View Room,Excellent,Couple
"everything was excellent. hotel room was very clean and room was big and useful. all hotel person was helpful friendly. hotel location was excellent . if you are in Singapore , you must stay that hotel. infinity pool was incredible. room view was excellent.",5.0,Marina Bay Sands Hotel,2019,Turkey,Deluxe King Harbor View Room,Exceptional,Couple
Pool and location.,4.5,Marina Bay Sands Hotel,2019,United Arab Emirates,,Wonderful,Solo traveler
Sometimes it feels so big and impersonal.,4.5,Marina Bay Sands Hotel,2019,United Arab Emirates,,Wonderful,Solo traveler
Beautiful view from my room. Staff are friendly and helpful.,5.0,Marina Bay Sands Hotel,2019,United States of America,,Exceptional,Family
everything except price,4.6,Marina Bay Sands Hotel,2019,Australia,,Wonderful,Family
fabulous place but price is too high,4.6,Marina Bay Sands Hotel,2019,Australia,,Wonderful,Family
The location is excellent with the property providing a great view and nice experience.,4.4,Marina Bay Sands Hotel,2019,Malaysia,,This was an interesting visit to one of Singapore's iconic sites.,Family
Luxury,4.6,Marina Bay Sands Hotel,2019,United States of America,,Professional staffs,Group
The bills,4.6,Marina Bay Sands Hotel,2019,United States of America,,Professional staffs,Group
Very helpful with early check in after long flight,5.0,Marina Bay Sands Hotel,2019,United Kingdom,,Exceptional,Couple
"The pool, views, drinks at the pool and the staff",5.0,Marina Bay Sands Hotel,2019,Netherlands,,Unforgettable,Couple
"AMAZING BUILDING, VERY BEAUTIFUL INFINITY ROOF-POOL, GREAT VIEW, IN THE MIDDLE OF ALL IMPORTANT POINTS IN SINGAPORE!",4.5,Marina Bay Sands Hotel,2019,Slovenia,,"PERFECT LOCATION,  GREAT VIEWS, VERY KIND STAFF ON RECEPTION DESK",Couple
"Amenities, hassle free check-in, cleanliness, pool",4.6,Marina Bay Sands Hotel,2019,Canada,,Wonderful,Family
Price,4.6,Marina Bay Sands Hotel,2019,Canada,,Wonderful,Family
"Pool, room comfort, view",4.15,Marina Bay Sands Hotel,2019,France,,Very Good,Family
Everything,5.0,Marina Bay Sands Hotel,2019,Hong Kong,,Exceptional,Couple
"Prime location, facilities were great, amenities were simple, room service food was amazing, house keeping was impeccable.",4.4,Marina Bay Sands Hotel,2019,United Arab Emirates,,Better than expected,Couple
"the infinity pool.and the ambiance.
and the city view very nice.",4.4,Marina Bay Sands Hotel,2019,Japan,,Excellent,Family
Pool view great but busy. Lots on site. View from room was unreal and bedrooms generally great and clean.,4.15,Marina Bay Sands Hotel,2019,United Kingdom,,Very Good,Couple
"What a fabulous hotel, staff very friendly and helpful, room was fantastic with views out to the gardens, food was exceptional, just a wonderful experience",5.0,Marina Bay Sands Hotel,2019,United Kingdom,,Exceptional,Family
Excellent Marina Bay and City View. GREAT experience on the roof top pool and restaurants,4.4,Marina Bay Sands Hotel,2019,Switzerland,,Unique place to stay in Singapore,Family
Sightseeing visitors are blocking the hotel guests elevators,4.4,Marina Bay Sands Hotel,2019,Switzerland,,Unique place to stay in Singapore,Family
Fabulous large room. Awesome pool. Excellent location.,5.0,Marina Bay Sands Hotel,2019,United Kingdom,,Exceptional,Family
Only 1 tea bag!,5.0,Marina Bay Sands Hotel,2019,United Kingdom,,Exceptional,Family
"la piscina y el personal, todo maravilloso",5.0,Marina Bay Sands Hotel,2022,Spain,Deluxe King Garden View Room,merece la pena completamente ya solo por la piscina,Couple
nada,5.0,Marina Bay Sands Hotel,2022,Spain,Deluxe King Garden View Room,merece la pena completamente ya solo por la piscina,Couple
Totul este impecabil.,5.0,Marina Bay Sands Hotel,2022,Romania,Deluxe King,Exceptional,Family
"Infinity pool is fantastisch, zeker doen, als je in het hotel bent. Het bevindt zich op de 57ste verdieping, waaruit je een fascinerende blik op de stad hebt.",4.5,Marina Bay Sands Hotel,2022,Netherlands,Deluxe King,Once in a liftime experience!,Family
"De eerste 2 dagen hebben we ontbijt gehad in de 2 restaurants waar het hotel ontbijt serveert. Niet doen! Het is te duur, te massaal, je moet regelmatig lang wachten voor een vrije tafel, waardoor je dan minder dan een halfuur aan het ontbijt te besteden hebt (die is tot 10:30, maar ook geen minut later). Als je denkt: ik ga een uur voor de sluiting tijd, dan heb je bijna geen tijd om te ontbijten, want rij voor de ingang is dan ook heel lang. Bakkerij in toren 3 op BG heeft veel keuze en is 3 keer minder duur.",4.5,Marina Bay Sands Hotel,2022,Netherlands,Deluxe King,Once in a liftime experience!,Family
"lokalizacja, widoki",5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Harbor View Room,Exceptional,Family
"struttura , servizio , tutto fantastico",5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe King,Exceptional,Group
Einfach alles! Ein sehr eindrucksvoller und angenehmer Aufenthalt,5.0,Marina Bay Sands Hotel,2020,Germany,Deluxe King City View Room,Outstanding,Couple
Einfach alles!!! Ein Traum!!!,5.0,Marina Bay Sands Hotel,2020,Germany,Premier Twin City View Room,Exceptional,Couple
"Tutto perfetto come al solito, location, servizi, ristoranti, pulizia",4.5,Marina Bay Sands Hotel,2020,Italy,Premier King Harbor View Room,Wonderful,Couple
"Es un muy buen lugar para observar la belleza de singapur, las vistas son increibles y si la alberca te toca con poca gente es un lugar genial.",4.5,Marina Bay Sands Hotel,2020,Mexico,Deluxe King,Conociendo la alberca infinita,Couple
Hat alles gepasst. Nur leider sehr teuer,4.5,Marina Bay Sands Hotel,2020,United States of America,Premier King Harbor View Room,Schöne Zeit. Aber 2 Nächte genuegen,Family
Baustelle am observation deck,4.5,Marina Bay Sands Hotel,2020,United States of America,Premier King Harbor View Room,Schöne Zeit. Aber 2 Nächte genuegen,Family
Der Pool und die Aussicht waren genial. Essen sehr fein!,4.8,Marina Bay Sands Hotel,2020,Switzerland,Premier Twin City View Room,Exceptional,Group
il wifi funziona bene e la camera era splendida con vista sui giardini bellissima,5.0,Marina Bay Sands Hotel,2020,Italy,Deluxe King Harbor View Room,chi va a singapore ha l'obbligo di soggiornare qui almeno una notte altrimenti non ci sei mai stato,Solo traveler
Maravilhoso !!! Tudo grandioso!,5.0,Marina Bay Sands Hotel,2019,Brazil,Deluxe King,Exceptional,Solo traveler
Super hotel,5.0,Marina Bay Sands Hotel,2019,Netherlands,Premier King Garden View Room,Exceptional,Family
Niets,5.0,Marina Bay Sands Hotel,2019,Netherlands,Premier King Garden View Room,Exceptional,Family
"Wir haben in der 43 Etage gewohnt und es war ein Erlebniss.Tolles Zimmer,sauber und gross.Der Pool ist auch super und wenn man in Singapore ist sollte man sich dieses Hotel leisten",4.8,Marina Bay Sands Hotel,2019,Norway,Deluxe King City View Room,Super,Couple
Kurz und knapp: Alles!!!,5.0,Marina Bay Sands Hotel,2019,Germany,Deluxe Twin,Exceptional,Couple
Tutto favoloso ... personale super efficiente e pronto a soddisfare ogni desiderio... servizi super,5.0,Marina Bay Sands Hotel,2019,Italy,Deluxe King,Marina Bay Sand ... il TOP,Family
"Der Pool im 57. Stock, mega.",5.0,Marina Bay Sands Hotel,2019,Germany,Premier Twin City View Room,Exceptional,Couple
Super. Wir hatten ein Zimmer zur Stadt und konnten die Lasershow vom Fenster aus sehen. Ein tolles Hotel.,5.0,Marina Bay Sands Hotel,2019,Germany,Premier Twin City View Room,Exceptional,Couple
Sehr gutes Hotel gerne wieder! Das Hotel ist nett und angenehm.,4.8,Marina Bay Sands Hotel,2019,Switzerland,Special Offer - Premier King Harbor View Room,Gerne wieder!,Solo traveler
Einige mitarbeiter in den Restaurants sollten freundlicher werden.,4.8,Marina Bay Sands Hotel,2019,Switzerland,Special Offer - Premier King Harbor View Room,Gerne wieder!,Solo traveler
"Ausstattung, Service, Lage, unglaubliche Aussicht und Infinity Pool",5.0,Marina Bay Sands Hotel,2019,Germany,Premier Twin Room - Lower Floor (3 People),Der absolute Wahnsinn,Group
Nichts,5.0,Marina Bay Sands Hotel,2019,Germany,Premier Twin Room - Lower Floor (3 People),Der absolute Wahnsinn,Group
Die Lage einfach genial. Zimmerblick zur Skyline nicht zu toppen. Alles war einfach nur perfekt!,5.0,Marina Bay Sands Hotel,2019,Germany,Deluxe King Sky View,Exceptional,Couple
Es gibt nichts was uns nicht gefallen hat!,5.0,Marina Bay Sands Hotel,2019,Germany,Deluxe King Sky View,Exceptional,Couple
"Ruime kamer, heerlijke bedden, prachtig uitzicht op de tuin. Dichtbij bloemen- en plantenwereld, fascinerend. Tip: boek een bike toer (historische route) bij Let's Go Biking Singapore met enthousiaste gids Gan: vier actieve en leerzame uurtjes door oud en nieuw Singapore.",4.8,Marina Bay Sands Hotel,2019,Netherlands,Premier Twin Garden View Room,Magnifiek verblijf,Family
Eigenlijk niets,4.8,Marina Bay Sands Hotel,2019,Netherlands,Premier Twin Garden View Room,Magnifiek verblijf,Family
la piscina vale da sola il prezzo della stanza,4.5,Marina Bay Sands Hotel,2019,Italy,Deluxe King,Wonderful,Solo traveler
Todo perfecto,5.0,Marina Bay Sands Hotel,2019,United States of America,Special Offer - Deluxe King City View Room,Exceptional,Family
Lage und Ausstattung und der Service,5.0,Marina Bay Sands Hotel,2019,Germany,Deluxe King Sky View,Das fantastische Hotel kann man jedem der Singapur besucht nur empfehlen. Man sollte es sich mal gönnen.,Couple
Es gibt nichts zu meckern,5.0,Marina Bay Sands Hotel,2019,Germany,Deluxe King Sky View,Das fantastische Hotel kann man jedem der Singapur besucht nur empfehlen. Man sollte es sich mal gönnen.,Couple
