reviews,score,hotel,date,country,room,title,travellerType
,4.5,The Fullerton Hotel,2020,Singapore,Straits Club Marina Bay View Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2020,Singapore,Straits Club Marina Bay View Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2020,Singapore,Marina Bay View Room,Wonderful,Solo traveler
,4.5,The Fullerton Hotel,2020,Singapore,Marina Bay View Room,Wonderful,Solo traveler
,4.5,The Fullerton Hotel,2020,Singapore,Heritage Room,Wonderful,Family
,4.5,The Fullerton Hotel,2020,Singapore,Heritage Room,Wonderful,Family
,5.0,The Fullerton Hotel,2020,Singapore,Straits Club Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,Straits Club Courtyard Room,Exceptional,Family
,4.5,The Fullerton Hotel,2020,Singapore,Premier Collyer Suite,Wonderful,Family
,4.5,The Fullerton Hotel,2020,Singapore,Premier Collyer Suite,Wonderful,Family
,5.0,The Fullerton Hotel,2020,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2020,Singapore,Heritage Room,Exceptional,Family
,4.5,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Wonderful,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Esplanade Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Esplanade Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Exceptional,Couple
,4.5,The Fullerton Hotel,2021,Singapore,Heritage Room,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Singapore,Heritage Room,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Singapore,Quay Room,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Singapore,Quay Room,Wonderful,Family
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.5,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Wonderful,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Heritage Room,Very Good,Family
,4.0,The Fullerton Hotel,2021,Singapore,Heritage Room,Very Good,Family
,4.0,The Fullerton Hotel,2021,Singapore,Esplanade Room,Very Good,Family
,4.0,The Fullerton Hotel,2021,Singapore,Esplanade Room,Very Good,Family
,4.5,The Fullerton Hotel,2021,Singapore,CNY Special - Premier Courtyard Room with Complimentary Breakfast for two people & a pair of Fullerton Bears,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Singapore,CNY Special - Premier Courtyard Room with Complimentary Breakfast for two people & a pair of Fullerton Bears,Wonderful,Family
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Group
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Group
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,5.0,The Fullerton Hotel,2021,Singapore,CNY Special - Premier Courtyard Room with Complimentary Breakfast for two people & a pair of Fullerton Bears,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,CNY Special - Premier Courtyard Room with Complimentary Breakfast for two people & a pair of Fullerton Bears,Exceptional,Couple
,4.5,The Fullerton Hotel,2021,Singapore,CNY Special - Premier Courtyard Room with Complimentary Breakfast for two people & a pair of Fullerton Bears,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Singapore,CNY Special - Premier Courtyard Room with Complimentary Breakfast for two people & a pair of Fullerton Bears,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Singapore,Quay Room,Wonderful,Group
,4.5,The Fullerton Hotel,2021,Singapore,Quay Room,Wonderful,Group
,5.0,The Fullerton Hotel,2021,Singapore,Quay Room,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Singapore,Quay Room,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Marina Bay View Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Exceptional,Family
,5.0,The Fullerton Hotel,2021,Singapore,Esplanade Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2021,Singapore,Esplanade Room,Exceptional,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Courtyard Room,Very Good,Family
,4.0,The Fullerton Hotel,2021,Singapore,Courtyard Room,Very Good,Family
,4.5,The Fullerton Hotel,2021,Singapore,Esplanade Room,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Singapore,Esplanade Room,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Thailand,Marina Bay View Room,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Thailand,Marina Bay View Room,Wonderful,Couple
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,excellent,Solo traveler
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,excellent,Solo traveler
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Very Good,Family
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Very Good,Family
,4.5,The Fullerton Hotel,2022,Singapore,Club Indulgence Package - Straits Club Courtyard Room with access to Straits Club for two adults for the price of one,Wonderful,Couple
,4.5,The Fullerton Hotel,2022,Singapore,Club Indulgence Package - Straits Club Courtyard Room with access to Straits Club for two adults for the price of one,Wonderful,Couple
,5.0,The Fullerton Hotel,2022,Singapore,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2022,Singapore,Heritage Room,Exceptional,Family
,5.0,The Fullerton Hotel,2022,Australia,Heritage Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2022,Australia,Heritage Room,Exceptional,Couple
,4.5,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Wonderful,Family
,4.5,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Wonderful,Family
,4.0,The Fullerton Hotel,2022,Singapore,Taste the Good Life Package - Heritage Room with Complimentary $200 SGD net flexible Dining Credits per stay,Great room for relaxing 😌,Couple
,4.0,The Fullerton Hotel,2022,Singapore,Taste the Good Life Package - Heritage Room with Complimentary $200 SGD net flexible Dining Credits per stay,Great room for relaxing 😌,Couple
,4.0,The Fullerton Hotel,2022,Singapore,The Perfect Staycation Package - Marina Bay View Room with Complimentary $80 SGD Dining Credits per stay,Very Good,Group
,4.0,The Fullerton Hotel,2022,Singapore,The Perfect Staycation Package - Marina Bay View Room with Complimentary $80 SGD Dining Credits per stay,Very Good,Group
,5.0,The Fullerton Hotel,2022,Singapore,Marina Bay View Room,Exceptional,Couple
,5.0,The Fullerton Hotel,2022,Singapore,Marina Bay View Room,Exceptional,Couple
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Very Good,Family
,4.0,The Fullerton Hotel,2022,Singapore,Premier Courtyard Room,Very Good,Family
,4.5,The Fullerton Hotel,2022,Singapore,Marina Bay View Room,Wonderful,Family
,4.5,The Fullerton Hotel,2022,Singapore,Marina Bay View Room,Wonderful,Family
,4.5,The Fullerton Hotel,2021,Canada,The Perfect Staycation Package - Marina Bay View Room with Complimentary $80 SGD Dining Credits per stay,Wonderful,Couple
,4.5,The Fullerton Hotel,2021,Canada,The Perfect Staycation Package - Marina Bay View Room with Complimentary $80 SGD Dining Credits per stay,Wonderful,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Premier Courtyard Room,Very Good,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Club Indulgence Package - Straits Club Courtyard Room with access to Straits Club for two adults for the price of one,great,Couple
,4.0,The Fullerton Hotel,2021,Singapore,Club Indulgence Package - Straits Club Courtyard Room with access to Straits Club for two adults for the price of one,great,Couple
